,instrument_1,instrument_2_shifted,distance_corr
18,19,0,0.9812236164431765
440,45,9,0.9801493821572365
553,44,12,0.978678303902519
1124,40,35,0.9762272099682672
340,26,7,0.9605069386400572
1224,49,48,0.9592341843419059
129,35,2,0.9452577215069559
134,40,2,0.9450288814883407
713,34,17,0.9443357099319757
112,18,2,0.9369005044456151
1080,41,32,0.9352456344183869
930,31,25,0.9328311196816865
750,40,18,0.9312479145579143
741,31,18,0.9276919577656674
110,16,2,0.9275656468223968
745,35,18,0.9272932899754657
687,40,16,0.917216249032684
735,25,18,0.9133058136343232
665,18,16,0.9109575419769301
992,48,27,0.9086618300024354
7,8,0,0.906840319757943
682,35,16,0.9066699233074825
374,19,8,0.9061098428804123
1157,48,37,0.9054196967666094
993,49,27,0.9023532957890112
6,7,0,0.9018776240526497
1005,40,28,0.9000661727010785
25,26,0,0.8993006527977582
324,10,7,0.8979395724241277
1158,49,37,0.8965627952450356
333,19,7,0.8961229719683134
957,35,26,0.8941805760291479
766,26,19,0.8941754197105584
122,28,2,0.8923347567901889
322,8,7,0.890479541804133
462,28,10,0.8891239301071745
962,40,26,0.8888100381734866
111,17,2,0.8876022421630801
1000,35,28,0.8858136364533707
1062,40,31,0.8856025108176049
460,26,10,0.8848625785164225
128,34,2,0.8841758940079234
120,26,2,0.883934300116864
34,35,0,0.8807054119388795
349,35,7,0.880644178624315
9,10,0,0.8800287705979972
39,40,0,0.8775353855125957
354,40,7,0.877267951665479
1057,35,31,0.8770607588557378
125,31,2,0.8769565927256145
775,35,19,0.8767463814724652
707,28,17,0.8763787595729032
101,7,2,0.8745647913349217
365,10,8,0.8744572796736177
381,26,8,0.8735288602625506
342,28,7,0.8712632959406923
664,17,16,0.870821197988425
744,34,18,0.8705819212284888
780,40,19,0.8694856972803157
527,18,12,0.8682226977088149
999,34,28,0.867733368576133
681,34,16,0.8654326461682558
697,18,17,0.8645744517394129
453,19,10,0.8613946289645349
950,28,26,0.8595581307496949
390,35,8,0.858198513092529
736,26,18,0.8581751950882233
719,40,17,0.8577466301748017
981,37,27,0.8574578459821809
678,31,16,0.8567861248785599
481,47,10,0.8564184920713727
102,8,2,0.8552647349702411
395,40,8,0.8548200791119829
1104,49,33,0.8542586890954545
106,12,2,0.8538507945243042
119,25,2,0.8533288442907567
27,28,0,0.8513823438736785
939,40,25,0.8499133409507428
953,31,26,0.8494992260918598
738,28,18,0.84879568231962
1110,40,34,0.8484650765319087
1,2,0,0.8472454222734949
383,28,8,0.8468211090227138
573,28,13,0.8457403796092907
934,35,25,0.8455020339324527
979,35,27,0.8452804742827479
754,44,18,0.8445409686460286
544,35,12,0.8433260752193329
332,18,7,0.8429486975890658
714,35,17,0.8416399716388963
48,49,0,0.8406512399672753
138,44,2,0.8404746557799686
47,48,0,0.8394524403683808
710,31,17,0.8386308935783492
474,40,10,0.8377474991385895
768,28,19,0.8376284674492096
469,35,10,0.8368657951137306
672,25,16,0.8364178174112459
1046,42,30,0.8355494767590819
1105,35,34,0.8347318181968102
996,31,28,0.8323093828528202
789,49,19,0.8318404806250896
675,28,16,0.831579583982471
368,13,8,0.8301979918906265
949,27,26,0.8301321275180579
788,48,19,0.8297394973118698
26,27,0,0.8289799428892743
984,40,27,0.828903981771635
1056,34,31,0.8286344399236854
1128,44,35,0.8267694735806701
549,40,12,0.8266871253219139
1103,48,33,0.8260111687219159
107,13,2,0.8258687874776365
113,19,2,0.8251462206694726
536,27,12,0.8245810127175772
1153,44,37,0.8245409872455151
767,27,19,0.8240326267309631
1012,47,28,0.8234357195202766
704,25,17,0.823344857465793
345,31,7,0.8203567234552319
988,44,27,0.8200217866969983
311,39,6,0.8189382476419125
1092,37,33,0.8184444670801742
977,33,27,0.816627623650603
535,26,12,0.815960516751442
966,44,26,0.8152166691498365
925,26,25,0.8149348309448284
777,37,19,0.8138203006419129
12,13,0,0.8110176599484752
585,40,13,0.8104486841344571
540,31,12,0.8104402403735044
1183,44,40,0.8102249151016125
797,28,20,0.8098921374534488
104,10,2,0.8092969261195676
927,28,25,0.8087911128281949
737,27,18,0.8084522339522422
546,37,12,0.8064756740200281
156,16,3,0.8063525987825957
933,34,25,0.8060752025119055
36,37,0,0.8058056886902423
773,33,19,0.8052203823145361
975,31,27,0.8049370521303474
534,25,12,0.8035827001617551
32,33,0,0.803340912059632
911,36,24,0.8025712406522294
327,13,7,0.7999189067225171
184,44,3,0.799690966562803
803,34,20,0.7993871620858858
152,12,3,0.7980831375153522
525,16,12,0.7968536186089521
339,25,7,0.7963280473644722
943,44,25,0.7957783845719532
341,27,7,0.7955399477842284
564,19,13,0.7948062388900545
1066,44,31,0.7921095167372251
580,35,13,0.7919163461002839
705,26,17,0.7913943798348293
970,48,26,0.7902628949498687
447,13,10,0.7902088939997943
373,18,8,0.7894103337327074
699,20,17,0.7892236614002328
97,3,2,0.7889629181986744
1019,34,29,0.7885780837332215
326,12,7,0.7882029551637108
1132,48,35,0.7867745062120491
571,26,13,0.7846510324041462
557,48,12,0.784626792642752
331,17,7,0.7832126189864731
358,44,7,0.7822832505485148
17,18,0,0.7818365087002058
1187,48,40,0.7818166584439398
1213,48,44,0.7816954052728703
465,31,10,0.7809974297294897
565,20,13,0.7809414880576018
956,34,26,0.7797023184519695
1133,49,35,0.7793687480615262
30,31,0,0.7764909961589648
579,34,13,0.7751388405654682
46,47,0,0.7749129094605621
673,26,16,0.774713918043931
691,44,16,0.7742421167834799
971,49,26,0.7734325920322339
452,18,10,0.7729959115131234
1188,49,40,0.7729353285122866
367,12,8,0.7723571828573881
513,41,11,0.7711711830881323
1147,38,37,0.7694094223535901
994,29,28,0.7693625470311479
348,34,7,0.7688097257226665
1121,37,35,0.7674266462119907
1149,40,37,0.7664922729706636
186,46,3,0.7646559227689205
771,31,19,0.7646424555116699
362,48,7,0.7641943054239024
330,16,7,0.7628691769285932
708,29,17,0.7614594035306957
363,49,7,0.7611724369238337
562,17,13,0.7589400778432739
623,43,14,0.7579567567067756
399,44,8,0.7570427598428373
926,27,25,0.7559471665224604
451,17,10,0.7555140690938171
558,49,12,0.7547377922627634
459,25,10,0.7547011537186986
11,12,0,0.7544374675698783
386,31,8,0.7540836385126849
758,48,18,0.752742597655328
729,19,18,0.7517236279739394
1214,49,44,0.7514306042280537
547,38,12,0.7477504255790558
121,27,2,0.7471117250845172
463,29,10,0.746189171911488
784,44,19,0.7453179545968135
528,19,12,0.7450174258188929
787,47,19,0.7444030351860591
371,16,8,0.7431971802868035
1070,48,31,0.7431197836129013
1164,44,38,0.7421857427581975
158,18,3,0.7405815717609658
361,47,7,0.7400305415397115
592,47,13,0.7374923070122256
1186,47,40,0.7374574860129908
392,37,8,0.7372414661871183
1199,45,42,0.7363920017159922
759,49,18,0.7359166594560661
563,18,13,0.7355264384937614
43,44,0,0.7346080587206635
561,16,13,0.733586491714217
15,16,0,0.7334039118299006
180,40,3,0.7310152576761206
959,37,26,0.7309527590733597
1090,35,33,0.7297247704436645
403,48,8,0.7273455313591406
504,32,11,0.7270950382462102
404,49,8,0.72680446502507
801,32,20,0.7266671476591575
174,34,3,0.7261563473211521
175,35,3,0.7244002723482852
969,47,26,0.720997595191336
389,34,8,0.720637582854182
372,17,8,0.7206287786643458
947,48,25,0.7204236682949281
543,34,12,0.7194918992031555
482,48,10,0.717171545121915
24,25,0,0.7170077616341906
810,41,20,0.716542997537458
468,34,10,0.716070862979134
1095,40,33,0.7152494111979923
955,33,26,0.7150310258561589
437,42,9,0.71318020657068
380,25,8,0.7131182807161005
666,19,16,0.7115228778025855
526,17,12,0.7109047071472941
747,37,18,0.7108742838878699
483,49,10,0.7102349854230542
157,17,3,0.7097227492235699
1071,49,31,0.7094276507417636
351,37,7,0.709027017785634
114,20,2,0.7080155665764939
142,48,2,0.707813730009778
537,28,12,0.7077993127276235
1032,47,29,0.7066531780065312
461,27,10,0.7065554336265865
1131,47,35,0.7062693255237714
765,25,19,0.7061451503234983
1114,44,34,0.70459451822684
1009,44,28,0.7034895903267828
667,20,16,0.7034541203240285
1168,48,38,0.703213312743776
674,27,16,0.702134218135826
402,47,8,0.7015403109232579
576,31,13,0.6982225691795656
723,44,17,0.6978158248654284
347,33,7,0.696541152695904
143,49,2,0.6958483212376158
972,28,27,0.6947429940974005
899,49,23,0.6943886900218427
244,15,5,0.6937534177327832
131,37,2,0.6932948545851944
123,29,2,0.6931645741799758
898,48,23,0.6917468976868891
382,27,8,0.6915382942021345
1169,49,38,0.6874643909331349
450,16,10,0.686173731955985
1069,47,31,0.6850608242791036
304,32,6,0.6840135393139501
809,40,20,0.682790267052279
1013,48,28,0.6803429464146372
1025,40,29,0.679530396684221
16,17,0,0.6789581656661569
313,41,6,0.6785284064333478
574,29,13,0.6766197364452811
685,38,16,0.6757302756088492
693,46,16,0.6753487407427374
1049,45,30,0.674804194787534
343,29,7,0.6748007171463488
1016,31,29,0.6743323846523112
798,29,20,0.673698358496677
948,49,25,0.6705096201151581
763,23,19,0.6699621565570653
739,29,18,0.6696508215581345
748,38,18,0.6694762184256215
1160,40,38,0.6685687409086378
22,23,0,0.667771429285407
520,48,11,0.6676425769602281
1099,44,33,0.6673421999646909
625,45,14,0.6670012465525036
1122,38,35,0.6655959879183285
570,25,13,0.6652264470373025
1014,49,28,0.6651909650013004
132,38,2,0.6649258229125196
936,37,25,0.6645925964358076
425,30,9,0.6641981895970864
1059,37,31,0.6638820554117258
446,12,10,0.6629740664997946
409,14,9,0.6625586798796091
33,34,0,0.6614546124778213
171,31,3,0.6612056773143486
1020,35,29,0.660750669898916
951,29,26,0.65900854560671
521,49,11,0.6576698132618711
698,19,17,0.6573634943887253
165,25,3,0.65672270322614
695,48,16,0.656162176121659
804,35,20,0.6561604064508982
676,29,16,0.655759964142004
1216,47,45,0.6556320374192688
840,43,21,0.6549116416222365
816,47,20,0.6539850080711628
141,47,2,0.6515200420122064
774,34,19,0.6513101516097707
456,22,10,0.6513015005436246
982,38,27,0.6492258478272397
442,47,9,0.6487078483225359
946,47,25,0.6487065324835226
542,33,12,0.6482282530092179
388,33,8,0.6481940421509584
1078,39,32,0.6481572974857248
478,44,10,0.6474976473808433
511,39,11,0.6459593340214581
589,44,13,0.6437114766033367
726,47,17,0.6426279613446092
730,20,18,0.6414210716586831
928,29,25,0.641211661405864
883,33,23,0.6410513455829822
696,49,16,0.6410511764498992
384,29,8,0.6410438197583818
522,13,12,0.6389992210793904
127,33,2,0.6372970211215409
1152,43,37,0.6372866676385096
577,32,13,0.6367293474512675
168,28,3,0.6358359488580748
283,11,6,0.6331854848530744
467,33,10,0.6325002815830177
757,47,18,0.631940334192522
1055,33,31,0.6303258541254245
684,37,16,0.6281043716391232
278,49,5,0.6258225822436216
277,48,5,0.6254061585576927
471,37,10,0.6252389404675236
1205,45,43,0.6247037859399236
601,21,14,0.6219848985856414
317,45,6,0.6215630163324326
240,11,5,0.6199856576878952
1175,45,39,0.6192907863720654
88,41,1,0.6192800089729198
978,34,27,0.6192479589331892
239,10,5,0.6181215591977927
586,41,13,0.6177264867794616
281,9,6,0.6177002894124632
377,22,8,0.6176163864796417
1171,41,39,0.6164366519259972
28,29,0,0.6158902698192711
743,33,18,0.6154408207847184
706,27,17,0.614912052564332
594,49,13,0.6131120904319083
438,43,9,0.6129472160557359
937,38,25,0.6127553841281871
1223,49,47,0.6126671215284286
593,48,13,0.6116137706515857
1002,37,28,0.6114308658081933
887,37,23,0.6113801704879223
778,38,19,0.6110922275947581
661,47,15,0.6110411571441344
178,38,3,0.6105701230325525
1222,48,47,0.6076530042952977
266,37,5,0.6052643813137291
1201,47,42,0.6046719215963696
1117,47,34,0.6036770903150825
1185,46,40,0.6019980359801688
582,37,13,0.6018234043851368
454,20,10,0.5998431157714735
814,45,20,0.5997154670561607
1116,46,34,0.5994057399156931
37,38,0,0.5991729398834685
617,37,14,0.5985673628146302
794,25,20,0.5984479782034359
58,11,1,0.5976578307664757
160,20,3,0.5963786400096809
1130,46,35,0.5944315590731781
434,39,9,0.5937323375689941
725,46,17,0.5935470905026726
811,42,20,0.592166535726994
1093,38,33,0.5919056798785614
393,38,8,0.5913609885653631
839,42,21,0.5904406614156594
800,31,20,0.5895585934942715
877,27,23,0.5889455285601433
769,29,19,0.5884745439899902
334,20,7,0.58785209449139
1060,38,31,0.5871740228644104
276,47,5,0.586433001693342
590,45,13,0.5847282941788712
960,38,26,0.5839335912676558
756,46,18,0.5838321434792139
148,8,3,0.5837010723557368
991,47,27,0.5825424256349093
499,27,11,0.58193092855711
871,47,22,0.580703843513475
509,37,11,0.5802102709973989
680,33,16,0.5797697474721262
1084,45,32,0.5787373638712507
998,33,28,0.5763346979896383
166,26,3,0.5755559622408704
140,46,2,0.5747460744837426
337,23,7,0.5739025162032568
408,13,9,0.57351620035234
505,33,11,0.573179478287589
572,27,13,0.5712396958388952
642,28,15,0.5682436983084502
842,45,21,0.5680771073497216
578,33,13,0.5679167685628753
1017,32,29,0.5666188191332482
624,44,14,0.5649547882031758
795,26,20,0.5647329467510241
932,33,25,0.5645900097660072
618,38,14,0.5645168726373895
415,20,9,0.5630698574678733
694,47,16,0.5622980922323679
352,38,7,0.5622708261025291
1192,45,41,0.5615711028667357
457,23,10,0.5615462172834593
153,13,3,0.5604698758481368
1010,45,28,0.5588534714641707
827,30,21,0.5576506108375278
1204,44,43,0.5569649993021372
427,32,9,0.5564440625681079
336,22,7,0.5563317840464441
567,22,13,0.5552221156117255
610,30,14,0.5520474674725575
177,37,3,0.5515860654782607
1026,41,29,0.5515139253177881
375,20,8,0.5514468859141076
378,23,8,0.5512668913172108
850,26,22,0.5495781706133737
436,41,9,0.5477982422095963
790,21,20,0.5476670866459333
487,15,11,0.5455640973300858
147,7,3,0.5454918904230458
1073,34,32,0.5453889028044815
79,32,1,0.5452703607876925
853,29,22,0.5446063532173605
876,26,23,0.5442172391335074
449,15,10,0.543555525158721
727,48,17,0.5433202694672458
1007,42,28,0.5425275517199036
587,42,13,0.5418795840550156
495,23,11,0.5404449240901742
808,39,20,0.539025321390609
1111,41,34,0.537677146381119
1102,47,33,0.5372302011543074
621,41,14,0.5370676920755121
423,28,9,0.5367875663572256
256,27,5,0.5364592748503847
257,28,5,0.5351107896395182
416,21,9,0.5343437202172893
252,23,5,0.5343038618138148
167,27,3,0.5333384723509178
4,5,0,0.5333074028815976
253,24,5,0.5329256133094331
2,3,0,0.5318363492358044
711,32,17,0.5311122812001557
633,19,15,0.5308116519281542
1118,48,34,0.5307728627121634
1068,46,31,0.530659831803896
838,41,21,0.5304464189259551
997,32,28,0.5298908900416373
1163,43,38,0.5297555464291462
523,14,12,0.5293543649702598
21,22,0,0.5291281385997318
417,22,9,0.5286551830684623
612,32,14,0.5284922373752066
19,20,0,0.5282080411327493
728,49,17,0.5276953005625534
945,46,25,0.5273915685072286
476,42,10,0.527099275495054
1051,47,30,0.5266014949121377
248,19,5,0.5262651573875164
262,33,5,0.5259050732114041
829,32,21,0.525551971728888
14,15,0,0.5250452071132519
663,49,15,0.5245600527901952
852,28,22,0.5242670294569306
1098,43,33,0.5222313017869912
