,instrument_1,instrument_2_shifted,distance_corr
18,19,0,0.987088594841892
553,44,12,0.9810442653698208
440,45,9,0.9789305308872199
1124,40,35,0.9788156887363338
1224,49,48,0.9686035932952248
340,26,7,0.9652551952229264
129,35,2,0.9525517956853037
134,40,2,0.9507697387215246
713,34,17,0.950311625962442
930,31,25,0.9395460727085879
112,18,2,0.9383418858966627
750,40,18,0.9356470974664003
1080,41,32,0.9342627900899223
745,35,18,0.9323383704385539
110,16,2,0.927515118155029
741,31,18,0.9268116212531823
687,40,16,0.9238270105612688
665,18,16,0.917932077948274
682,35,16,0.91704843919557
992,48,27,0.9158395269644912
735,25,18,0.9141254409046353
993,49,27,0.9099900675189625
374,19,8,0.9089383477155031
1005,40,28,0.9070756012754165
1157,48,37,0.9064107514329135
7,8,0,0.9062945939006661
324,10,7,0.90353431358179
6,7,0,0.9031316882220237
333,19,7,0.9028728307684407
25,26,0,0.9014355189899398
766,26,19,0.8977880208425361
122,28,2,0.8972629925921758
1158,49,37,0.8963234405129221
322,8,7,0.8954261813343071
1000,35,28,0.8937311702333763
962,40,26,0.891398208227713
462,28,10,0.8911946294373516
957,35,26,0.8909619288985619
120,26,2,0.8908127769716924
460,26,10,0.888523055766291
1062,40,31,0.887059556565008
111,17,2,0.886557898705616
101,7,2,0.8854894104378958
9,10,0,0.8838640892066585
125,31,2,0.882136709697701
311,39,6,0.8812815065348247
365,10,8,0.8812771021911738
707,28,17,0.8809272723659696
128,34,2,0.8800910736474692
349,35,7,0.8798364090642437
354,40,7,0.8794736135253824
34,35,0,0.879003454643049
1057,35,31,0.8783164979026399
39,40,0,0.8765319258117258
775,35,19,0.874762224800248
697,18,17,0.8745792305423113
381,26,8,0.8741726638655444
342,28,7,0.8739877473429483
1046,42,30,0.8721053637794355
780,40,19,0.8694445848818666
102,8,2,0.8674986551295395
999,34,28,0.8669755837037072
481,47,10,0.8669357236894776
664,17,16,0.8663632634691157
744,34,18,0.8652129465766984
678,31,16,0.8650565375242786
981,37,27,0.8647700295305562
736,26,18,0.8641524033892206
681,34,16,0.8632048130132348
453,19,10,0.862649056876972
719,40,17,0.8625994688081473
390,35,8,0.8590429992494375
950,28,26,0.8586456345537289
527,18,12,0.8578062262719678
1104,49,33,0.8562767776682425
106,12,2,0.8550872977968086
395,40,8,0.8550307596660476
953,31,26,0.8550011102234606
119,25,2,0.8538330201638685
27,28,0,0.8537566588507715
754,44,18,0.8536726639015285
383,28,8,0.8525169325923401
1110,40,34,0.8523809283801014
939,40,25,0.8512668346473606
934,35,25,0.8503400328894177
738,28,18,0.848226481537387
573,28,13,0.8479284458352395
714,35,17,0.8471585734190443
672,25,16,0.8469635001550162
48,49,0,0.8457421314048573
710,31,17,0.8445691089796348
47,48,0,0.8434321829377531
138,44,2,0.8420268935600574
