,instrument_1,instrument_2_shifted,distance_corr
794,35,19,0.9342952024975787
51,3,1,0.9316128712792723
178,35,3,0.9255262772281267
161,18,3,0.9233104936000741
67,19,1,0.9095465979369274
423,19,9,0.9084065534576466
449,45,9,0.9073139333072713
382,19,8,0.9003324087651322
417,13,9,0.8983026065467905
1203,45,38,0.8967129576195711
1199,41,38,0.8964134235307714
61,13,1,0.8914406673633805
93,45,1,0.8889860364553223
834,45,20,0.8871888292222532
84,36,1,0.8862574932345127
512,29,11,0.8851588300585147
147,4,3,0.8846663631243773
160,17,3,0.8825313993480155
89,41,1,0.8798361050645933
1028,35,28,0.8797464172745518
1106,35,32,0.8793745690992086
717,21,17,0.8790548602678147
1049,35,29,0.8781025535705805
1006,35,27,0.8775617605307587
825,36,20,0.8760003870063834
52,4,1,0.8757468014365895
788,29,19,0.8756021066873086
731,35,17,0.8740487540294165
519,36,11,0.8734475718883119
1029,36,28,0.872235886735157
714,18,17,0.8717036642763754
316,38,6,0.8694542608927286
172,29,3,0.8692544868097296
1034,41,28,0.8690066725137329
1174,41,36,0.8687832005342068
757,29,18,0.8671733891434067
830,41,20,0.8670229366176812
1050,36,29,0.8669212520638435
749,21,18,0.8660955662086146
1055,41,29,0.8660942094111106
524,41,11,0.865319550633192
1012,41,27,0.8650914275848685
162,19,3,0.8636609066616501
1007,36,27,0.8631599245663555
75,27,1,0.8626194840733281
404,41,8,0.8622395969673627
398,35,8,0.8614208744982622
1000,29,27,0.8611727460685991
430,26,9,0.8606768830403766
575,17,13,0.8599224420409051
56,8,1,0.8594554644300546
399,36,8,0.858885220626513
436,32,9,0.8580916287235544
983,35,26,0.8579482837946484
380,17,8,0.8570369703714482
763,35,18,0.8569631401246751
577,19,13,0.8567250994708757
1261,47,45,0.8561073519433724
395,32,8,0.8560068106387918
605,47,13,0.8528962167478921
392,29,8,0.8513531292868027
381,18,8,0.850652049231008
977,29,26,0.850574601843687
816,27,20,0.8500129560365808
502,19,11,0.8496171997059611
