,instrument_1,instrument_2_shifted,distance_corr
68,20,1,0.987088594841892
603,45,13,0.9810442653698208
490,46,10,0.9789305308872199
1174,41,36,0.9788156887363338
1274,50,49,0.9686035932952248
390,27,8,0.9652551952229264
179,36,3,0.9525517956853037
184,41,3,0.9507697387215246
763,35,18,0.950311625962442
980,32,26,0.9395460727085879
162,19,3,0.9383418858966627
800,41,19,0.9356470974664003
1130,42,33,0.9342627900899223
795,36,19,0.9323383704385539
160,17,3,0.927515118155029
791,32,19,0.9268116212531823
737,41,17,0.9238270105612688
715,19,17,0.917932077948274
732,36,17,0.91704843919557
1042,49,28,0.9158395269644912
785,26,19,0.9141254409046353
1043,50,28,0.9099900675189625
424,20,9,0.9089383477155031
1055,41,29,0.9070756012754165
1207,49,38,0.9064107514329135
57,9,1,0.9062945939006661
374,11,8,0.90353431358179
56,8,1,0.9031316882220237
383,20,8,0.9028728307684407
75,27,1,0.9014355189899398
816,27,20,0.8977880208425361
172,29,3,0.8972629925921758
1208,50,38,0.8963234405129221
372,9,8,0.8954261813343071
1050,36,29,0.8937311702333763
1012,41,27,0.891398208227713
512,29,11,0.8911946294373516
1007,36,27,0.8909619288985619
170,27,3,0.8908127769716924
510,27,11,0.888523055766291
1112,41,32,0.887059556565008
161,18,3,0.886557898705616
151,8,3,0.8854894104378958
59,11,1,0.8838640892066585
27,28,0,0.8833934205118149
175,32,3,0.882136709697701
361,40,7,0.8812815065348247
415,11,9,0.8812771021911738
757,29,18,0.8809272723659696
178,35,3,0.8800910736474692
399,36,8,0.8798364090642437
404,41,8,0.8794736135253824
84,36,1,0.879003454643049
1107,36,32,0.8783164979026399
89,41,1,0.8765319258117258
825,36,20,0.874762224800248
747,19,18,0.8745792305423113
431,27,9,0.8741726638655444
44,45,0,0.8739986247671407
392,29,8,0.8739877473429483
12,13,0,0.8721855165224524
1096,43,31,0.8721053637794355
830,41,20,0.8694445848818666
152,9,3,0.8674986551295395
1049,35,29,0.8669755837037072
531,48,11,0.8669357236894776
714,18,17,0.8663632634691157
794,35,19,0.8652129465766984
728,32,17,0.8650565375242786
1031,38,28,0.8647700295305562
786,27,19,0.8641524033892206
48,49,0,0.8639632478635163
731,35,17,0.8632048130132348
503,20,11,0.862649056876972
769,41,18,0.8625994688081473
440,36,9,0.8590429992494375
1000,29,27,0.8586456345537289
577,19,13,0.8578062262719678
1154,50,34,0.8562767776682425
156,13,3,0.8550872977968086
445,41,9,0.8550307596660476
1003,32,27,0.8550011102234606
169,26,3,0.8538330201638685
77,29,1,0.8537566588507715
804,45,19,0.8536726639015285
433,29,9,0.8525169325923401
37,38,0,0.8524425440770549
1160,41,35,0.8523809283801014
989,41,26,0.8512668346473606
984,36,26,0.8503400328894177
788,29,19,0.848226481537387
623,29,14,0.8479284458352395
49,50,0,0.8478698538288891
764,36,18,0.8471585734190443
722,26,17,0.8469635001550162
98,50,1,0.8457421314048573
760,32,18,0.8445691089796348
97,49,1,0.8434321829377531
188,45,3,0.8420268935600574
382,19,8,0.8419783869209425
594,36,13,0.8417879443075017
51,3,1,0.8391335636666161
524,41,11,0.8389523171674421
1155,36,35,0.8389176050452787
818,29,20,0.8388201743539534
163,20,3,0.8386494410513943
961,37,25,0.8374715708829933
519,36,11,0.835676098978899
1029,36,28,0.835327290524397
1062,48,29,0.8351113745487188
839,50,20,0.834870319841673
1027,34,28,0.8341440796500776
1046,32,29,0.8338042700604874
838,49,20,0.8324104926224549
725,29,17,0.8323855388260546
76,28,1,0.8321445160672984
999,28,27,0.8309531762362198
418,14,9,0.8298044371465301
1178,45,36,0.8296591009628188
754,26,18,0.8285814975163655
586,28,13,0.8285628490135327
1106,35,32,0.8276841466538831
157,14,3,0.8270082404097552
1153,49,34,0.8258403458075083
817,28,20,0.8249427462117311
599,41,13,0.8248691110771385
1034,41,28,0.8223179472358323
787,28,19,0.821795955350011
585,27,13,0.8210107856804608
395,32,8,0.8205593426073131
1038,45,28,0.8204758461451446
975,27,26,0.8201617674247629
154,11,3,0.8196565404357032
823,34,20,0.8194983217113823
1142,38,34,0.8192897735702284
596,38,13,0.8165963256157062
1203,45,38,0.8153724989142446
827,38,20,0.8138831242159352
82,34,1,0.8133361021829723
1233,45,41,0.8120110106516366
1016,45,27,0.8112129836966968
977,29,26,0.810523156864443
202,13,4,0.8088635371107564
234,45,4,0.8080541463246556
983,35,26,0.8076764608071874
635,41,14,0.807247932998245
86,38,1,0.8067797124071436
206,17,4,0.806649736645724
62,14,1,0.8059320960779334
847,29,21,0.8049995350306287
993,45,26,0.8022547237474954
590,32,13,0.8018773307413715
853,35,21,0.8005818133843031
1116,45,32,0.7985753536546008
1025,32,28,0.7978962948833884
1182,49,36,0.7974487860841636
614,20,14,0.7974204791735345
755,27,18,0.7970974057874178
1237,49,41,0.7969633654873326
377,14,8,0.7962821489818591
615,21,14,0.7960213187527362
1020,49,27,0.7951751154889459
584,26,13,0.7943031659321277
1183,50,36,0.7926791198804252
391,28,8,0.7920946003732323
630,36,14,0.7906388354312381
389,26,8,0.7895065231590584
1238,50,41,0.789393460116849
1069,35,30,0.7880170577365146
607,49,13,0.7870977922734438
96,48,1,0.7869342896240893
673,44,15,0.7867493438058926
575,17,13,0.7866384568115311
741,45,17,0.785606295063641
1263,49,45,0.7849374755100851
497,14,11,0.7845336317692494
515,32,11,0.7842716895919303
381,18,8,0.7841793921368709
1021,50,27,0.7837319969654226
423,19,9,0.7822966475901013
376,13,8,0.7821287934913914
621,27,14,0.7818079613535884
563,42,12,0.7800024697229458
1171,38,36,0.7796462894635079
723,27,17,0.7790763312217704
749,21,18,0.7784979662414282
80,32,1,0.7783189734803234
147,4,3,0.7779693087031512
758,30,18,0.7754320703647484
1044,30,29,0.7751532243124605
1006,35,27,0.7750116363385507
67,19,1,0.773731416325149
808,49,19,0.7734982373024945
408,45,8,0.7734147222520011
502,19,11,0.7727072947472049
412,49,8,0.7710775022683839
413,50,8,0.77094078410575
629,35,14,0.7705418293322628
821,32,20,0.7659868145047268
18,19,0,0.765543726839503
779,20,19,0.7649518000772146
236,47,4,0.7642734470013908
398,35,8,0.7622658888017078
417,13,9,0.7615799263798397
171,28,3,0.759618452487925
38,39,0,0.7595627269245391
608,50,13,0.7593412060355272
837,48,20,0.7587492173129878
380,17,8,0.7585286433033194
1264,50,45,0.7577929152877164
411,48,8,0.7575675286599803
501,18,11,0.7571784944777619
809,50,19,0.7561269835305852
976,28,26,0.7559196921886905
33,34,0,0.7553693950025974
578,20,13,0.7550646105592054
612,18,14,0.7549404761607701
1197,39,38,0.754613746782749
1199,41,38,0.7535489567069794
509,26,11,0.752999407562726
1120,49,32,0.751432658679127
436,32,9,0.7506324252819095
35,36,0,0.7498130928222619
513,30,11,0.7486924455593853
61,13,1,0.7468947643717485
449,45,9,0.7451624477331817
1236,48,41,0.7448834489459621
208,19,4,0.7443937894460096
597,39,13,0.7442588908021701
554,33,12,0.7434440939643566
642,48,14,0.7406680092366623
1214,45,39,0.7392080848514779
230,41,4,0.7390245082235317
487,43,10,0.7378834944295005
1249,46,43,0.7375439784720157
1019,48,27,0.7367736187190228
834,45,20,0.7367061631740977
225,36,4,0.7365188696752004
442,38,9,0.735914691718125
421,17,9,0.7350709528811361
1009,38,27,0.7337446455068737
997,49,26,0.7316423165305771
31,32,0,0.7312495326037136
454,50,9,0.7304980471153183
613,19,14,0.7299275130156909
453,49,9,0.7296178794079375
224,35,4,0.7285112194268907
797,38,19,0.7283150418049616
26,27,0,0.7278518012689896
93,45,1,0.726574452713037
65,17,1,0.7261826038333704
716,20,17,0.7256866517195927
611,17,14,0.7256285548689626
1005,34,27,0.7252942914812094
851,33,21,0.7249636414553458
40,41,0,0.7241108942093417
1140,36,34,0.7239963324520245
1082,48,30,0.721494209431727
192,49,3,0.7205760921101201
1218,49,39,0.7195897584295401
1121,50,32,0.7193801795722752
422,18,9,0.7192763870370357
532,49,11,0.7177317530077462
452,48,9,0.7174571891958974
74,26,1,0.7159342829977948
533,50,11,0.7153350208052203
1181,48,36,0.7152941622000614
439,35,9,0.7146139953943904
1164,45,35,0.7133918788956628
397,34,8,0.7130574068234705
294,16,6,0.7130157903349242
25,26,0,0.7126600123394664
193,50,3,0.7121116879428784
724,28,17,0.7114543809642238
518,35,11,0.7111964132905904
593,35,13,0.7111786260691272
430,26,9,0.710359665963098
587,29,13,0.7098642213758193
207,18,4,0.709400729683083
401,38,8,0.7091469105652266
511,28,11,0.7088523101941704
1145,41,34,0.7079731996324891
