,instrument_1,instrument_2,distance_corr
2214,45,9,0.9766649490410492
485,9,45,0.9766649490410484
931,19,0,0.9728100961947537
18,0,19,0.9728100961947532
1995,40,35,0.954591566036091
1754,35,40,0.954591566036091
368,7,26,0.9345478592750067
1281,26,7,0.934547859275003
1608,32,41,0.9282902798064538
2041,41,32,0.9282902798064521
1683,34,17,0.9213402625105909
866,17,34,0.9213402625105909
2168,44,12,0.917392548845842
631,12,44,0.9173925488458404
2400,48,49,0.9058010114672959
2449,49,48,0.9058010114672933
1988,40,28,0.8995347371695112
1411,28,40,0.8995347371695108
639,13,2,0.892839246777874
110,2,13,0.8928392467778726
1980,40,20,0.8924755389099045
1019,20,40,0.8924755389099043
1014,20,35,0.8922022179206721
1735,35,20,0.8922022179206711
1406,28,35,0.8898457264174788
1743,35,28,0.8898457264174784
132,2,35,0.8887258672172624
1717,35,2,0.8887258672172597
803,16,20,0.885536828540834
996,20,16,0.885536828540834
117,2,20,0.8804925097045303
982,20,2,0.8804925097045301
542,11,3,0.8794215246004652
157,3,11,0.8794215246004646
1013,20,34,0.877917185807353
1686,34,20,0.8779171858073525
137,2,40,0.8758302587604593
1962,40,2,0.8758302587604585
1511,30,42,0.8732419133520145
2088,42,30,0.8732419133520136
1917,39,6,0.8725947975436132
332,6,39,0.8725947975436118
823,16,40,0.8650518606077913
1976,40,16,0.865051860607791
1392,28,20,0.8618968293656855
1007,20,28,0.8618968293656848
1381,28,9,0.8594602310063575
468,9,28,0.859460231006356
2233,45,28,0.8578330393328261
1416,28,45,0.8578330393328261
2313,47,10,0.8560812540240847
536,10,47,0.8560812540240835
2205,45,0,0.8550378544269479
44,0,45,0.8550378544269448
1731,35,16,0.8542421936901411
818,16,35,0.8542421936901372
1374,28,2,0.8538181489927307
125,2,28,0.8538181489927292
852,17,20,0.8531541981029194
997,20,17,0.853154198102919
441,9,0,0.8502417164360926
8,0,9,0.8502417164360913
2224,45,19,0.845694735120353
975,19,45,0.8456947351203524
361,7,19,0.8452022292000617
938,19,7,0.8452022292000608
1544,31,25,0.8447821564701945
1255,25,31,0.8447821564701937
850,17,18,0.8446909692508541
899,18,17,0.8446909692508524
7,0,8,0.8442604989471633
392,8,0,0.8442604989471614
410,8,19,0.8442152121350469
939,19,8,0.8442152121350459
1211,24,36,0.8440574005504952
1788,36,24,0.8440574005504952
343,7,0,0.8432307017469104
6,0,7,0.84323070174691
901,18,20,0.8418892487193333
998,20,18,0.8418892487193317
915,18,34,0.8386646387991934
1684,34,18,0.8386646387991921
459,9,19,0.8386309878254289
940,19,9,0.838630987825427
352,7,10,0.8377660079342704
497,10,7,0.8377660079342695
490,10,0,0.8352524527814734
9,0,10,0.8352524527814734
2331,47,28,0.8348206294364587
1418,28,47,0.8348206294364577
1978,40,18,0.8345748162120776
921,18,40,0.8345748162120771
1382,28,10,0.8286087511624791
517,10,28,0.8286087511624785
515,10,26,0.8269448707667343
1284,26,10,0.8269448707667333
912,18,31,0.8250434785966813
1537,31,18,0.8250434785966808
25,0,26,0.8244154249330774
1274,26,0,0.8244154249330755
487,9,47,0.8233623993647474
2312,47,9,0.8233623993647461
46,0,47,0.8215572691621716
2303,47,0,0.8215572691621708
113,2,16,0.8198926645420959
786,16,2,0.819892664542089
664,13,28,0.8198163722922344
1385,28,13,0.8198163722922323
1733,35,18,0.8166107688469922
916,18,35,0.8166107688469917
2012,41,3,0.8164493269660175
187,3,41,0.8164493269660165
