,instrument_1,instrument_2,distance_corr
405,8,42,0.11380879646731132
1138,33,50,0.10934030199481008
226,4,37,0.1030599295424682
684,16,21,0.10255335635433016
671,15,42,0.10091478924404951
857,21,39,0.10070487973579732
890,22,44,0.09936549071758032
790,19,31,0.09922383745712464
1229,40,50,0.09895995572245324
173,3,30,0.0986750459321275
1044,29,30,0.09801572436366447
351,7,30,0.0963061713494488
242,5,8,0.09596910745175079
803,19,44,0.0956292615118224
946,24,47,0.0951929380750776
642,14,48,0.09503137525479032
56,1,8,0.09445956169174437
1049,29,35,0.09433635589370984
761,18,33,0.09380654785825736
152,3,9,0.09203046203955109
151,3,8,0.09174378083711361
800,19,41,0.0915386285523713
595,13,37,0.09059159711148328
797,19,38,0.08987535981744078
172,3,29,0.08983263826615784
185,3,42,0.0889314421595804
910,23,37,0.08883949700948722
213,4,24,0.08878968754466618
290,6,12,0.0880110235822483
286,6,8,0.08728853939738894
312,6,34,0.08709580799246425
407,8,44,0.0866229362692192
391,8,28,0.08643586640252268
144,2,48,0.08636636769702717
700,16,37,0.0863499735453559
148,3,5,0.08612304793825704
972,25,48,0.08596567129571947
1097,31,44,0.08586745071073013
154,3,11,0.0853482737786728
189,3,46,0.08531184127482093
899,23,26,0.08531048360237192
653,15,24,0.08519985828145694
23,0,24,0.08432641588381144
29,0,30,0.08364797700422645
253,5,19,0.08362581548997557
786,19,27,0.08344458071811506
174,3,31,0.08328571448100407
34,0,35,0.08308325494453624
283,5,49,0.08300677811867375
554,12,33,0.082826294248295
1118,32,47,0.08228347232226231
760,18,32,0.08203186173695849
680,16,17,0.08192500239832068
167,3,24,0.08178486048343381
255,5,21,0.0817372772079416
1035,28,42,0.08172914906891846
36,0,37,0.0811403304141592
78,1,30,0.08069448978864795
636,14,42,0.08004356462797123
649,15,20,0.07993689957401319
210,4,21,0.07990593013626136
906,23,33,0.07970249189030251
1092,31,39,0.07967397719403954
1028,28,35,0.07962070527761012
79,1,31,0.07935188040252875
367,7,46,0.07927836345324656
1242,42,46,0.07924702121551934
656,15,27,0.07897607343670979
38,0,39,0.07885885084754113
1193,37,47,0.07864024445136494
1045,29,31,0.07858833991291049
121,2,25,0.07851550401154
903,23,30,0.07826106056291607
772,18,44,0.0781970595377968
166,3,23,0.07770893995070122
110,2,14,0.0774569187061009
288,6,10,0.07741687367119711
329,7,8,0.07740364485408972
966,25,42,0.07733097876052804
374,8,11,0.07724107837110575
209,4,20,0.07698047653074895
1259,44,50,0.07683905300997498
664,15,35,0.07660198397035778
1236,41,48,0.0765245053002855
66,1,18,0.07647039905567662
726,17,30,0.07634084790514982
1006,27,35,0.0759720471547555
315,6,37,0.07596724851197732
753,18,25,0.07593989181231148
740,17,44,0.07582758851439
831,20,42,0.07574690309186881
934,24,35,0.07570082381803005
363,7,42,0.07543566272304564
344,7,23,0.07534924635449096
1037,28,44,0.0752021308763696
693,16,30,0.07518252715944858
365,7,44,0.0750315036263355
298,6,20,0.07492731541027439
476,10,32,0.07476228090164445
224,4,35,0.07475798422820333
217,4,28,0.07473681097492894
607,13,49,0.07450144091849947
143,2,47,0.07437061279105481
7,0,8,0.07430295099404195
479,10,35,0.07379440388921847
943,24,44,0.07362755044767197
278,5,44,0.0735748682637602
650,15,21,0.07355640525848965
1007,27,36,0.07354912892240337
495,11,12,0.07339904117676667
246,5,12,0.07337088030434433
178,3,35,0.07333145502399004
398,8,35,0.0732249570038911
936,24,37,0.07310141816037151
646,15,17,0.07309566033853425
59,1,11,0.07290761528456736
1001,27,30,0.07288714877820685
711,16,48,0.07271935558756187
1239,42,43,0.07245360893394505
647,15,18,0.07242294817616182
927,24,28,0.07235847032603425
1150,34,46,0.07234029060095296
1240,42,44,0.07228340367789143
824,20,35,0.07212759265230329
377,8,14,0.07209661576670999
471,10,27,0.07207170601046592
620,14,26,0.07184582563587057
914,23,41,0.07181976823922916
582,13,24,0.07181112255620914
463,10,19,0.07176705221022442
130,2,34,0.07173416996983163
1071,30,37,0.07170041084104288
1066,30,32,0.07166605803155719
556,12,35,0.07162868941137225
1013,27,42,0.07138392444661519
812,20,23,0.07120249693077592
659,15,30,0.07113063083533096
103,2,7,0.07096834908479534
27,0,28,0.07089678163999955
1222,40,43,0.07082085478966983
493,10,49,0.07078516910649087
626,14,32,0.07075770658322007
1054,29,40,0.07074762344078683
108,2,12,0.07056729442237554
252,5,18,0.07048920743297005
967,25,43,0.07044262360310939
604,13,46,0.07043878805904627
499,11,16,0.07040432726252946
364,7,43,0.07039045968849372
1186,37,40,0.07022811789761951
645,15,16,0.07018273421380332
751,18,23,0.07005421021101149
225,4,36,0.07000295357372488
635,14,41,0.0699100169070233
756,18,28,0.06988431311212892
164,3,21,0.06988415149848178
484,10,40,0.06988295308505431
125,2,29,0.06984989033287883
80,1,32,0.06977064516556035
1181,36,48,0.06974162617009774
262,5,28,0.06973694622067605
1047,29,33,0.06966733247561076
1187,37,41,0.0694034020633121
276,5,42,0.06939157978694949
302,6,24,0.06938144041554276
964,25,40,0.06938006247462053
687,16,24,0.06929640227177551
1148,34,44,0.069181172757416
616,14,22,0.06910830576708563
1235,41,47,0.06906649707683389
19,0,20,0.06904032366023609
547,12,26,0.06888558548676893
382,8,19,0.06883292691062401
4,0,5,0.06879914697508135
17,0,18,0.06874944132166917
1226,40,47,0.06872004858361219
665,15,36,0.06871291305452266
855,21,37,0.06867563927637793
776,18,48,0.06866441855003726
922,23,49,0.06864294994059027
1093,31,40,0.0686344690300509
291,6,13,0.0686248590061132
402,8,39,0.06853133585804456
826,20,37,0.06829833991702164
1051,29,37,0.06818413675086803
91,1,43,0.06817147902545158
184,3,41,0.06800388406020573
358,7,37,0.06793039609191448
539,12,18,0.06790425542942875
299,6,21,0.06790288243236299
92,1,44,0.0678695843277473
643,14,49,0.06784501575163304
181,3,38,0.06783480461973446
695,16,32,0.06783060647398469
676,15,47,0.06778078527549684
893,22,47,0.06776290541983014
159,3,16,0.06776265370079225
43,0,44,0.06754295853894332
625,14,31,0.06751912676403966
419,9,15,0.06749711547824562
579,13,21,0.06746118253300246
404,8,41,0.06742847238982602
545,12,24,0.06741745687875675
771,18,43,0.06740409411260566
811,20,22,0.06738026016439606
287,6,9,0.0673480857205479
520,11,37,0.06734027853348382
858,21,40,0.06719784029536047
791,19,32,0.06710753415011944
769,18,41,0.06708358355732996
1203,38,45,0.06693388950612879
336,7,15,0.06685919310126019
47,0,48,0.06684226587179677
211,4,22,0.0666836139311733
388,8,25,0.0666830632771644
157,3,14,0.06655594727946026
1155,35,36,0.0665445135317353
565,12,44,0.06651969702645195
1086,31,33,0.06647528628847509
945,24,46,0.06645834660380776
308,6,30,0.06633340818905326
567,12,46,0.06627494122446281
613,14,19,0.06622382313936226
1078,30,44,0.06620334039824845
40,0,41,0.06619619755251263
1238,41,50,0.06604013727013015
783,19,24,0.06592125309641284
590,13,32,0.0659133058401194
572,13,14,0.06590609168490097
1174,36,41,0.06581981035648482
1244,42,48,0.06574602496860674
839,20,50,0.06574507710146663
609,14,15,0.06573079071218854
354,7,33,0.06564112615550276
357,7,36,0.06558260032474278
1036,28,43,0.06555157726874432
1192,37,46,0.06544235678241861
655,15,26,0.06541388335647547
868,21,50,0.06541325683408729
1198,38,40,0.06540395019634646
383,8,20,0.06538574223204292
1253,43,50,0.06538509983176374
439,9,35,0.06531310885693724
101,2,5,0.06527011009982568
1020,27,49,0.06523226937258525
359,7,38,0.06522758188877072
533,11,50,0.06522544811512931
223,4,34,0.0652060122849042
956,25,32,0.06520525895143779
551,12,30,0.06520340089598031
1214,39,45,0.06518159003780487
784,19,25,0.06512795563563958
1182,36,49,0.06510012237835872
135,2,39,0.06509625649749691
266,5,32,0.06508381989695428
1250,43,47,0.06499269467989476
947,24,48,0.06497982404750993
313,6,35,0.0649518077956667
76,1,28,0.06492791186559192
950,25,26,0.06486880802761193
1154,34,50,0.06483291468328843
606,13,48,0.0648184888325565
1123,33,35,0.06480159976450832
902,23,29,0.06474995976219422
462,10,18,0.064736397530498
912,23,39,0.06471727144324814
399,8,36,0.06462347489437416
1215,39,46,0.064565955126639
18,0,19,0.06456505033582477
577,13,19,0.06451964762244322
1232,41,44,0.06443080710497004
1015,27,44,0.06442535038382122
83,1,35,0.06430831491442918
293,6,15,0.06430291223167499
585,13,27,0.06430184164960315
897,23,24,0.06428756528643999
356,7,35,0.06426966311845599
978,26,30,0.0642017934942408
587,13,29,0.06416243642325617
284,5,50,0.06410602388331672
490,10,46,0.06406290772737222
280,5,46,0.06403182502411894
1265,46,47,0.06400991172663927
75,1,27,0.06390852989142429
477,10,33,0.06386310254413483
608,13,50,0.06384350821387852
328,6,50,0.06379582261944157
707,16,44,0.0637805242890435
755,18,27,0.06377870129166574
596,13,38,0.06373866716974648
574,13,16,0.0637306529559779
1185,37,39,0.06369685641719255
230,4,41,0.06360571367163237
901,23,28,0.06358472842633292
1202,38,44,0.06356948086219037
644,14,50,0.06353254065428977
536,12,15,0.0635223639538853
11,0,12,0.06351822118887011
60,1,12,0.06348100940744533
186,3,43,0.06341210019413178
1137,33,49,0.0633835746693254
220,4,31,0.06327879701763166
106,2,10,0.06325301394822959
820,20,31,0.06318778037201296
990,26,42,0.06303872307113574
838,20,49,0.06298976083232417
1146,34,42,0.06294922453156176
376,8,13,0.0628630791653153
662,15,33,0.06285601976781914
99,2,3,0.06280126042560721
204,4,15,0.0626557947116873
231,4,42,0.06264793263945899
127,2,31,0.06262980818835023
510,11,27,0.06261947718417964
1108,32,37,0.06261395393261517
1105,32,34,0.06247439452538376
263,5,29,0.0624594801367478
971,25,47,0.06241738634596414
384,8,21,0.062398961857638845
675,15,46,0.062398729642390946
482,10,38,0.06238363196712696
1143,34,39,0.062355491851395474
757,18,29,0.062316144391428935
920,23,47,0.062258879651477056
72,1,24,0.062208355902083845
109,2,13,0.06218864250674347
96,1,48,0.06216734887517699
834,20,45,0.06216468494813302
324,6,46,0.06215924264168133
1252,43,49,0.061992795386212426
1126,33,38,0.06193365969394611
1166,35,47,0.06187796604165851
258,5,24,0.06187357448785384
515,11,32,0.0618692987309063
1130,33,42,0.061834188015076993
46,0,47,0.06182585033372443
746,17,50,0.06180253163705605
651,15,22,0.06175348549364036
466,10,22,0.06171699008322246
589,13,31,0.061703093530490576
1085,31,32,0.06170252447262869
727,17,31,0.06169495688571971
921,23,48,0.061638168288305255
938,24,39,0.06161509377185235
1261,45,47,0.06147822345483224
997,26,49,0.061450800805404014
113,2,17,0.061448756715689425
1119,32,48,0.061437536333508215
50,1,2,0.061408548739012345
861,21,43,0.0614055061311615
544,12,23,0.061375303090256586
809,19,50,0.0613739658474446
699,16,36,0.06137239478583072
830,20,41,0.061294523860216305
124,2,28,0.061261723998297275
615,14,21,0.06124465629123358
1264,45,50,0.061236353224586974
380,8,17,0.06122811292654709
123,2,27,0.061170059250780756
107,2,11,0.06113371842025421
111,2,15,0.06110035155314074
949,24,50,0.061098617691030706
1172,36,39,0.06109855804460504
748,18,20,0.061084405258452275
904,23,31,0.06103252650341308
49,0,50,0.06102315956265745
1153,34,49,0.060985303059567966
1171,36,38,0.06083849403395823
30,0,31,0.060827855118875264
813,20,24,0.060822315961142244
445,9,41,0.06081362709240613
814,20,25,0.06075190406091638
1213,39,44,0.06070365773846164
1262,45,48,0.06067350152485047
961,25,37,0.06067240996264183
491,10,47,0.0606715092204465
1059,29,45,0.06067005481055198
446,9,42,0.06064186060109771
578,13,20,0.060609456161914946
342,7,21,0.06056072632779337
82,1,34,0.06054092716388884
274,5,40,0.06046534053038475
1074,30,40,0.06043153228894609
622,14,28,0.06039608689898725
459,10,15,0.06038061179349015
933,24,34,0.060371795564301944
1091,31,38,0.060336495079744944
891,22,45,0.0602770808452099
525,11,42,0.06022021676970355
345,7,24,0.060189583198512975
1159,35,40,0.06017255858344302
160,3,17,0.06015762641597846
689,16,26,0.060117017692159345
483,10,39,0.06007975794496262
361,7,40,0.060055154821695836
1209,39,40,0.06004887621514058
908,23,35,0.06001929761567469
509,11,26,0.05998386591790144
196,4,7,0.05993114045104637
1195,37,49,0.059768144441784465
569,12,48,0.05976430209558684
237,4,48,0.05973089344579094
781,19,22,0.05971955905645288
1272,48,49,0.05971015420018707
821,20,32,0.05970551129411986
272,5,38,0.05968353506441213
958,25,34,0.05968029832939685
117,2,21,0.05967706094491869
584,13,26,0.05965150962966502
282,5,48,0.05962291981517759
741,17,45,0.05959698341038829
1204,38,46,0.059595336934185096
239,4,50,0.05958043840681686
33,0,34,0.059557421547446796
1271,47,50,0.05954309510484993
787,19,28,0.059532905154944055
175,3,32,0.05952371514471255
807,19,48,0.059522076641010176
598,13,40,0.059513561913552976
917,23,44,0.05949359866321667
876,22,30,0.059487500150254745
870,22,24,0.059459998961859495
346,7,25,0.05945590578783945
198,4,9,0.059424121555931624
325,6,47,0.05941141552011614
562,12,41,0.05939769692808646
570,12,49,0.05933688001625758
25,0,26,0.05931078508926189
387,8,24,0.059263340701110855
403,8,40,0.059167716202697784
222,4,33,0.05913740815490936
638,14,44,0.05913474848193708
61,1,13,0.059093984735484203
640,14,46,0.05907138946195024
942,24,43,0.059039364273233245
603,13,45,0.059015656741864125
156,3,13,0.059005390790509815
1100,31,47,0.05896309839062593
194,4,5,0.05886202386455692
85,1,37,0.058855807759404084
203,4,14,0.05883992058427062
1145,34,41,0.05882016986909172
31,0,32,0.05880873291276456
973,25,49,0.05875080657107182
1023,28,30,0.058739859441248134
1048,29,34,0.05869580326895186
885,22,39,0.058682052261684894
558,12,37,0.05867910413303374
925,24,26,0.05863987604849913
165,3,22,0.05863948238537612
470,10,26,0.05862043068779108
122,2,26,0.05859614171992476
73,1,25,0.05857943051243667
679,15,50,0.05857729839439963
519,11,36,0.0585718437980834
307,6,29,0.058548476181445895
513,11,30,0.05849275545803674
1161,35,42,0.05841930931764245
1211,39,42,0.05839864316761674
1067,30,33,0.05829893693665306
673,15,44,0.05827516709472123
1268,46,50,0.058262742230447945
339,7,18,0.05823799491998617
527,11,44,0.058230667076912365
568,12,47,0.05821314370458271
496,11,13,0.05819186003495493
45,0,46,0.058187503532292226
550,12,29,0.05818305918219614
416,9,12,0.058179681290611004
1131,33,43,0.0581625370667296
948,24,49,0.058072825097042105
1042,28,49,0.05805324895280825
1140,34,36,0.05803166483492676
866,21,48,0.05801525568225461
754,18,26,0.05800758261191198
816,20,27,0.05799051543824115
836,20,47,0.0579593042934454
734,17,38,0.05790960627294962
928,24,29,0.05784954338004241
1121,32,50,0.05784575186787656
202,4,13,0.0578164471230467
134,2,38,0.05779264146194158
1019,27,48,0.05779020431120409
469,10,25,0.05778763345294332
931,24,32,0.05777689710596376
41,0,42,0.05775526125457253
52,1,4,0.05768500702497103
219,4,30,0.05767091614354061
408,8,45,0.0576316484124164
381,8,18,0.05763137490981113
1111,32,40,0.05757983186241561
431,9,27,0.05756458907396227
480,10,36,0.0575392485486684
370,7,49,0.0574775265329902
1018,27,47,0.057454035232251524
765,18,37,0.05740257244435777
449,9,45,0.057400613013297797
1183,36,50,0.057354495320586764
485,10,41,0.057350898632708834
153,3,10,0.057329677992002344
1110,32,39,0.05728668769229627
16,0,17,0.057283995458805394
158,3,15,0.05728155007265857
522,11,39,0.057251592246427396
564,12,43,0.057224847469801644
849,21,31,0.05720591416883428
1170,36,37,0.057188100458844565
341,7,20,0.057183319763856905
297,6,19,0.0571762232468486
974,25,50,0.05716854954134425
138,2,42,0.05714307879537781
975,26,27,0.057104336081931814
745,17,49,0.05707972111548978
163,3,20,0.05705784143093198
337,7,16,0.057019306998235146
1063,29,49,0.05701147031838587
458,10,14,0.05699663883278708
865,21,47,0.05698915118693804
68,1,20,0.056975894753838616
738,17,42,0.05694731184402133
