,instrument_1,instrument_2_shifted,distance_corr
1199,38,41,0.9329317604462064
1207,38,49,0.919220075653338
1208,38,50,0.9118363570984196
652,15,23,0.903269407395016
670,15,41,0.898948967164245
1267,46,49,0.897242907049572
1268,46,50,0.8972324697164239
473,10,29,0.890543740872349
493,10,49,0.8887335373186576
455,10,11,0.8851829452332939
494,10,50,0.8835307289265174
485,10,41,0.8830736902495822
678,15,49,0.8787702313676061
22,0,23,0.8754475415516633
1245,42,49,0.8751244750931051
492,10,48,0.8741975190142532
1266,46,48,0.8737930848000444
658,15,29,0.8734492683156696
649,15,20,0.872552191158236
544,12,23,0.8683737923004539
464,10,20,0.8678802902541453
550,12,29,0.8672969471717968
1129,33,41,0.8626538255631209
202,4,13,0.8606815798841381
679,15,50,0.8606080338129461
665,15,36,0.8597612229285178
467,10,23,0.8579660393303028
1060,29,46,0.8562576317524032
460,10,16,0.8500494888502329
1263,45,49,0.8482783161975516
1233,41,45,0.8477521601704175
1246,42,50,0.8461392315317081
866,21,48,0.8432530639154789
587,13,29,0.8411381226472485
797,19,38,0.8410354837712815
562,12,41,0.8386199633246822
119,2,23,0.8368069528101318
782,19,23,0.8366928683132978
458,10,14,0.8365088658002173
741,17,45,0.8360892579355663
1137,33,49,0.834746590584254
581,13,23,0.834036680063436
145,2,49,0.832934933532532
599,13,41,0.8304627670466245
578,13,20,0.8291565689864587
779,19,20,0.8284699937747386
1124,33,36,0.8280527768500989
1206,38,48,0.8274103827455661
288,6,10,0.8270096373975938
40,0,41,0.8268842029247367
795,19,36,0.8263513117041761
303,6,25,0.8249866629563919
594,13,36,0.8246276762961824
326,6,48,0.8228851925473684
234,4,45,0.8221647028100345
582,13,24,0.820759041695343
872,22,26,0.8201495208402386
480,10,36,0.819134738836423
653,15,24,0.8187821494914922
324,6,46,0.8182191037206288
211,4,22,0.8169294187792314
1264,45,50,0.8155824800397207
572,13,14,0.8146694685240747
1062,29,48,0.812756950953508
188,3,45,0.81248269508476
1034,28,41,0.8122993261895882
1178,36,45,0.8114520209829101
156,3,13,0.8113109789451969
344,7,23,0.8110676549410989
1258,44,49,0.810561371740141
569,12,48,0.8097928597478782
1138,33,50,0.8090485472474993
471,10,27,0.8078558148826345
570,12,49,0.8075430353260422
607,13,49,0.807161263999973
1259,44,50,0.8068893659252578
332,7,11,0.8059647064842465
808,19,49,0.8059582417164053
800,19,41,0.8051380180265048
333,7,12,0.8050770475747635
656,15,27,0.8046607876095843
48,0,49,0.8034596985577193
28,0,29,0.7992151506731829
369,7,48,0.7988333609904725
847,21,29,0.7988173967632198
1274,49,50,0.7982543559870898
350,7,29,0.7957903126348704
844,21,26,0.7952880496924776
472,10,28,0.7944314938465515
124,2,28,0.7927837500373393
1042,28,49,0.7919552684227105
809,19,50,0.790526406786151
7,0,8,0.7866513448381744
10,0,11,0.786376541660874
137,2,41,0.785984464787619
657,15,28,0.7847056711542434
557,12,36,0.782214969599948
1022,28,29,0.7819022087325521
1029,28,36,0.7812642362310869
146,2,50,0.7797394120579894
787,19,28,0.7794250343919652
864,21,46,0.7790125444824737
294,6,16,0.7789726334192492
35,0,36,0.7787046220004731
456,10,12,0.7786828067800743
490,10,46,0.7779473054580215
165,3,22,0.7775552740660278
878,22,32,0.7774204499453059
8,0,9,0.7761956042860795
132,2,36,0.7760589099747077
299,6,21,0.7754651465931964
667,15,38,0.7751825987449108
49,0,50,0.7741602175494308
571,12,50,0.7735695329528673
608,13,50,0.77183884514572
307,6,29,0.7692922631393648
1261,45,47,0.7691802404654485
0,0,1,0.7688120363422849
26,0,27,0.7683796484805542
1227,40,48,0.7675577739926408
13,0,14,0.7667463075585973
941,24,42,0.7664245192664135
478,10,34,0.7660287169576537
567,12,46,0.7631104728853353
617,14,23,0.7624155856980086
1043,28,50,0.7610181652250829
105,2,9,0.7607772226583394
1225,40,46,0.7600361775894842
1218,39,49,0.7579977790415288
19,0,20,0.7577301210539188
535,12,14,0.7566681570647823
104,2,8,0.7561388454273065
677,15,48,0.753851708418965
147,3,4,0.7538283770742161
116,2,20,0.7536802616527419
11,0,12,0.7522179877974683
468,10,24,0.7519427756166968
204,4,15,0.7517916558197985
541,12,20,0.7517901899845119
1205,38,47,0.7502052118230133
1145,34,41,0.7501661165625039
786,19,27,0.7499080156775703
125,2,29,0.7495426993947917
894,22,48,0.7493009689606306
869,22,23,0.7479638509836284
1244,42,48,0.7478939256143486
1210,39,41,0.7440126044243681
367,7,46,0.7439534249515208
545,12,24,0.7431806788053166
788,19,29,0.7430703197958113
233,4,44,0.742321265726876
123,2,27,0.7416488538332238
887,22,41,0.741066883661537
663,15,34,0.7392343097084679
1262,45,48,0.738825355695373
1219,39,50,0.737052989627253
476,10,32,0.7360110468571097
548,12,27,0.7356662708607968
895,22,49,0.735535471755305
27,0,28,0.7355216557733502
362,7,41,0.7352362809700703
1057,29,43,0.7339010024562626
911,23,38,0.7327103821598896
596,13,38,0.7324375551471332
115,2,19,0.7320551160875375
1136,33,48,0.7315247193882998
521,11,38,0.7312458097444497
1153,34,49,0.7307894301930619
482,10,38,0.7302454001415724
585,13,27,0.7288331918642957
1126,33,38,0.7284413951320196
134,2,38,0.7275258317388724
547,12,26,0.7268928102135664
1204,38,46,0.7261814144725267
1251,43,48,0.7261647934872727
331,7,10,0.7257994062159145
1140,34,36,0.7257015480577018
110,2,14,0.7250763117397326
875,22,29,0.7249555455199507
645,15,16,0.724411647411902
623,14,29,0.7243153641841609
99,2,3,0.7239854261099227
370,7,49,0.7236062984315892
23,0,24,0.7206088254994106
549,12,28,0.7203592161447019
1265,46,47,0.7200673599117158
337,7,16,0.7191352163366573
120,2,24,0.7187204445495448
635,14,41,0.7178200529673983
315,6,37,0.7134740829929677
620,14,26,0.711859949658193
1217,39,48,0.7115902392036586
107,2,11,0.7115656580441545
347,7,26,0.7101037786006001
676,15,47,0.7097261644718437
537,12,16,0.7091712424818442
568,12,47,0.7090973651374872
491,10,47,0.7085044751146946
349,7,28,0.7079688192548846
18,0,19,0.707924263516764
289,6,11,0.7069208474929071
783,19,24,0.7057302307213853
1260,45,46,0.7056045043464076
642,14,48,0.7051196478422412
606,13,48,0.7046979434781973
37,0,38,0.7017420355864162
675,15,46,0.7007274435427145
812,20,23,0.699021003695205
1194,37,48,0.6988875912942694
1241,42,45,0.6985887551724812
542,12,21,0.6985333841184024
684,16,21,0.6984005991610095
605,13,47,0.698384524576311
348,7,27,0.698023412412441
918,23,45,0.6974368931976986
1154,34,50,0.697345106326234
371,7,50,0.6964643353239536
329,7,8,0.6963432603459306
816,20,27,0.693114809480086
643,14,49,0.6930249147515763
47,0,48,0.6928948014182768
417,9,13,0.6927121983580495
540,12,19,0.6926170577855896
1161,35,42,0.6923165812366766
443,9,39,0.6921173355917026
474,10,30,0.6919276496072233
1031,28,38,0.6919235378733837
867,21,49,0.6918245436694673
592,13,34,0.6914061040508043
1232,41,44,0.6910721644252182
850,21,32,0.6908702954753297
109,2,13,0.6901700547556526
1220,40,41,0.6901090108346369
339,7,18,0.6886096981918184
71,1,23,0.6871444711076827
842,21,24,0.6844714375650026
860,21,42,0.6838127548641583
1256,44,47,0.6819544378463359
75,1,27,0.6814343482441
1135,33,47,0.6810452173844924
793,19,34,0.6807911515672924
1171,36,38,0.6796793431055531
874,22,28,0.6793080585786198
1253,43,50,0.6787831545308223
770,18,42,0.678681783509654
873,22,27,0.677685386720517
1028,28,35,0.6776724378919198
2,0,3,0.6766408267123848
859,21,41,0.6759401727909881
995,26,47,0.675287443606247
896,22,50,0.6752769913424509
1142,34,38,0.6751062901201739
718,17,22,0.6749479956602563
621,14,27,0.6748207399405051
141,2,45,0.674396259497049
