,instrument_1,instrument_2,distance_corr
68,1,20,0.98708859484189
603,13,45,0.9810442653698166
490,10,46,0.9789305308871882
1174,36,41,0.978815688736335
1274,49,50,0.9686035932952187
390,8,27,0.9652551952228664
179,3,36,0.952551795685301
184,3,41,0.9507697387215487
763,18,35,0.9503116259624174
980,26,32,0.9395460727085346
162,3,19,0.9383418858966591
800,19,41,0.9356470974664015
1130,33,42,0.9342627900897637
795,19,36,0.9323383704385412
160,3,17,0.9275151181550434
791,19,32,0.9268116212532036
737,17,41,0.9238270105612731
715,17,19,0.917932077948263
732,17,36,0.9170484391955154
1042,28,49,0.9158395269645557
785,19,26,0.9141254409046442
1043,28,50,0.9099900675189465
424,9,20,0.9089383477154789
1055,29,41,0.9070756012754059
1207,38,49,0.9064107514329427
57,1,9,0.9062945939006668
374,8,11,0.9035343135818013
56,1,8,0.9031316882220416
383,8,20,0.9028728307684081
75,1,27,0.9014355189899148
816,20,27,0.8977880208425019
172,3,29,0.897262992592175
1208,38,50,0.8963234405129167
372,8,9,0.8954261813343843
1050,29,36,0.893731170233359
1012,27,41,0.8913982082276964
512,11,29,0.8911946294373462
1007,27,36,0.8909619288985067
170,3,27,0.8908127769717299
510,11,27,0.8885230557662991
1112,32,41,0.8870595565650392
161,3,18,0.8865578987055969
151,3,8,0.8854894104379043
59,1,11,0.8838640892066846
27,0,28,0.883393420511892
175,3,32,0.8821367096976824
361,7,40,0.8812815065349761
415,9,11,0.8812771021911745
757,18,29,0.8809272723659947
178,3,35,0.880091073647467
399,8,36,0.8798364090642256
404,8,41,0.8794736135253981
84,1,36,0.8790034546431
1107,32,36,0.8783164979026344
89,1,41,0.8765319258117791
825,20,36,0.8747622248002259
747,18,19,0.8745792305423087
431,9,27,0.8741726638655158
44,0,45,0.8739986247672794
392,8,29,0.8739877473429933
12,0,13,0.8721855165226198
1096,31,43,0.8721053637789996
830,20,41,0.869444584881917
152,3,9,0.8674986551295422
1049,29,35,0.8669755837036816
531,11,48,0.8669357236894396
714,17,18,0.8663632634691207
794,19,35,0.8652129465767304
728,17,32,0.8650565375242651
1031,28,38,0.864770029530577
786,19,27,0.8641524033892214
48,0,49,0.8639632478635546
731,17,35,0.863204813013236
503,11,20,0.8626490568769617
769,18,41,0.8625994688081499
440,9,36,0.8590429992494197
1000,27,29,0.85864563455371
577,13,19,0.8578062262719653
1154,34,50,0.8562767776682512
156,3,13,0.8550872977968019
445,9,41,0.8550307596661151
1003,27,32,0.8550011102234709
169,3,26,0.8538330201639363
77,1,29,0.8537566588507677
804,19,45,0.8536726639015406
433,9,29,0.8525169325923134
37,0,38,0.8524425440770909
1160,35,41,0.8523809283801687
989,26,41,0.8512668346473315
984,26,36,0.8503400328893872
788,19,29,0.848226481537415
623,14,29,0.8479284458353723
49,0,50,0.8478698538289431
764,18,36,0.8471585734189979
722,17,26,0.846963500155063
98,1,50,0.845742131404834
760,18,32,0.8445691089796159
97,1,49,0.8434321829377636
188,3,45,0.8420268935600501
382,8,19,0.8419783869209209
594,13,36,0.8417879443074879
51,1,3,0.8391335636666063
524,11,41,0.838952317167445
1155,35,36,0.8389176050452346
818,20,29,0.8388201743539571
163,3,20,0.8386494410514147
961,25,37,0.8374715708829786
519,11,36,0.8356760989788367
1029,28,36,0.8353272905243626
1062,29,48,0.8351113745487015
839,20,50,0.8348703198416733
1027,28,34,0.8341440796500453
1046,29,32,0.8338042700604725
838,20,49,0.8324104926225024
725,17,29,0.8323855388260433
76,1,28,0.832144516067336
999,27,28,0.8309531762362213
418,9,14,0.8298044371464383
1178,36,45,0.8296591009628165
754,18,26,0.8285814975163691
586,13,28,0.8285628490135172
1106,32,35,0.8276841466538885
157,3,14,0.8270082404096879
1153,34,49,0.8258403458075239
817,20,28,0.8249427462117322
599,13,41,0.8248691110772082
1034,28,41,0.8223179472359
787,19,28,0.8217959553500106
585,13,27,0.8210107856804492
395,8,32,0.8205593426073623
1038,28,45,0.8204758461451539
975,26,27,0.8201617674246848
154,3,11,0.8196565404357138
823,20,34,0.8194983217114732
1142,34,38,0.8192897735702162
596,13,38,0.8165963256156936
1203,38,45,0.8153724989142418
827,20,38,0.8138831242159706
82,1,34,0.8133361021829807
1233,41,45,0.8120110106515372
1016,27,45,0.8112129836967301
977,26,29,0.81052315686444
202,4,13,0.8088635371107652
234,4,45,0.8080541463246605
983,26,35,0.8076764608071889
635,14,41,0.8072479329985172
86,1,38,0.8067797124071682
206,4,17,0.8066497366456936
62,1,14,0.8059320960778577
847,21,29,0.8049995350306514
993,26,45,0.8022547237474797
590,13,32,0.8018773307413579
853,21,35,0.8005818133843222
1116,32,45,0.7985753536545653
1025,28,32,0.7978962948833414
1182,36,49,0.7974487860842469
614,14,20,0.7974204791735866
755,18,27,0.7970974057874175
1237,41,49,0.7969633654873758
377,8,14,0.796282148981727
615,14,21,0.7960213187527608
1020,27,49,0.7951751154890112
584,13,26,0.7943031659321071
1183,36,50,0.7926791198804362
391,8,28,0.7920946003731798
630,14,36,0.7906388354313267
389,8,26,0.78950652315904
1238,41,50,0.7893934601168072
1069,30,35,0.7880170577365074
607,13,49,0.7870977922734688
96,1,48,0.7869342896241629
673,15,44,0.7867493438060055
575,13,17,0.7866384568115392
741,17,45,0.7856062950635972
1263,45,49,0.7849374755101077
497,11,14,0.7845336317691908
515,11,32,0.7842716895919042
381,8,18,0.7841793921368767
1021,27,50,0.7837319969654517
423,9,19,0.7822966475900891
376,8,13,0.7821287934913903
621,14,27,0.7818079613537692
563,12,42,0.7800024697228334
1171,36,38,0.7796462894635402
723,17,27,0.7790763312217786
749,18,21,0.7784979662414179
80,1,32,0.7783189734803302
147,3,4,0.7779693087031445
758,18,30,0.7754320703647464
1044,29,30,0.7751532243124432
1006,27,35,0.7750116363385513
67,1,19,0.7737314163251455
808,19,49,0.7734982373024979
408,8,45,0.7734147222520026
502,11,19,0.7727072947471676
412,8,49,0.7710775022684215
413,8,50,0.7709407841057291
629,14,35,0.7705418293324263
821,20,32,0.7659868145047216
18,0,19,0.7655437268396607
779,19,20,0.7649518000771994
236,4,47,0.7642734470013199
398,8,35,0.7622658888017387
417,9,13,0.7615799263798472
171,3,28,0.7596184524879186
38,0,39,0.7595627269245022
608,13,50,0.7593412060354965
837,20,48,0.7587492173130583
380,8,17,0.7585286433032898
1264,45,50,0.7577929152877418
411,8,48,0.7575675286600153
501,11,18,0.7571784944777358
809,19,50,0.7561269835305784
976,26,28,0.7559196921886802
33,0,34,0.7553693950028343
578,13,20,0.7550646105591838
612,14,18,0.7549404761608415
1197,38,39,0.7546137467827471
1199,38,41,0.7535489567069868
509,11,26,0.752999407562702
1120,32,49,0.7514326586791245
436,9,32,0.7506324252818827
35,0,36,0.7498130928223172
513,11,30,0.7486924455593654
61,1,13,0.7468947643717994
449,9,45,0.7451624477331608
1236,41,48,0.7448834489459978
208,4,19,0.7443937894459857
597,13,39,0.7442588908021471
554,12,33,0.7434440939644178
642,14,48,0.7406680092368773
