,instrument_1,instrument_2,distance_corr
45,0,46,0.5536241141859258
40,0,41,0.5011516442940346
8,0,9,0.4984878856074419
41,0,42,0.4950821295765358
13,0,14,0.48522427912677585
42,0,43,0.4786816432622693
28,0,29,0.4762001304545492
2,0,3,0.46940192698565314
35,0,36,0.46682550067201384
11,0,12,0.4534478448827144
44,0,45,0.45209882338264074
30,0,31,0.44949941873512117
33,0,34,0.4410008594879443
43,0,44,0.4372929529704447
27,0,28,0.43615693510009157
0,0,1,0.43285338986211647
32,0,33,0.4298673654859462
18,0,19,0.42929921628239054
636,14,42,0.42701213971892776
26,0,27,0.4256355810085038
49,0,50,0.42464747515870976
23,0,24,0.42397525940096664
9,0,10,0.42121921566887927
7,0,8,0.4201709114856876
29,0,30,0.4183848738507235
6,0,7,0.4090533302102239
3,0,4,0.4069754602203551
185,3,42,0.4065921203569192
1150,34,46,0.40516603509584803
21,0,22,0.4047364719931863
24,0,25,0.40328892730235844
36,0,37,0.4009992666904904
1242,42,46,0.39722254458035106
10,0,11,0.3962464455777248
1096,31,43,0.394493273863215
12,0,13,0.3906916816551143
34,0,35,0.38882008682015495
1,0,2,0.3869390084679623
22,0,23,0.38663317005641473
16,0,17,0.38437865339408306
46,0,47,0.3843518523380676
38,0,39,0.3834537381410494
446,9,42,0.37897110868918155
571,12,50,0.37497075222610815
20,0,21,0.37367718848064996
1017,27,46,0.3728176509915064
189,3,46,0.3726787028252806
934,24,35,0.3709796973648118
39,0,40,0.3691357576717492
450,9,46,0.3681271056200585
4,0,5,0.3666851664884272
627,14,33,0.36516805031208494
640,14,46,0.3645194289226977
48,0,49,0.36351356561507664
15,0,16,0.36160672877537386
76,1,28,0.36026151409688356
19,0,20,0.3585634369761272
176,3,33,0.3577840296198806
529,11,46,0.35159058831024964
409,8,46,0.3512530837846868
1174,36,41,0.35042847675119426
1039,28,46,0.3502042574508239
1130,33,42,0.34975109946005456
1134,33,46,0.34864305417436703
62,1,14,0.3474402550310264
158,3,15,0.3468590353563108
1274,49,50,0.3456358861402922
449,9,45,0.3455454339805419
414,9,10,0.34493439072477683
540,12,19,0.3439381137718196
1055,29,41,0.3429920423151034
152,3,9,0.34162357648748165
1176,36,43,0.33978906621350796
367,7,46,0.3384970319140752
17,0,18,0.33651906779864743
14,0,15,0.3362849001537203
1156,35,37,0.33468915298657254
47,0,48,0.33025470806000407
142,2,46,0.3300248364808024
1027,28,34,0.32982127757756724
1015,27,44,0.32981308585455876
1240,42,44,0.32686864409675553
638,14,44,0.32642593003591297
1231,41,43,0.32584140464491546
5,0,6,0.3250547275087327
809,19,50,0.3243717346903786
94,1,46,0.32425259026014575
75,1,27,0.32413008736816085
157,3,14,0.32303150461771124
570,12,49,0.3210342571075438
924,24,25,0.32002786819008894
1146,34,42,0.3199459543264404
1013,27,42,0.3184942646810769
363,7,42,0.31723312914621654
31,0,32,0.3165961752695962
123,2,27,0.31631901495051534
1045,29,31,0.3159526131638045
634,14,40,0.31549378264295397
622,14,28,0.31467171475810946
1179,36,46,0.31447535142847693
1219,39,50,0.31412793944220696
1094,31,41,0.31309081016837953
138,2,42,0.31306176626124604
440,9,36,0.3127611312166907
1060,29,46,0.31024360815159285
497,11,14,0.30985936778656026
1089,31,36,0.30905490788066303
614,14,20,0.3081656416532785
564,12,43,0.30732968305547803
511,11,28,0.30698908567640065
604,13,46,0.3069460127252631
752,18,24,0.306700081637323
889,22,43,0.3064029874775302
335,7,14,0.3061760435299928
525,11,42,0.30604140221199366
438,9,34,0.3058055547974297
37,0,38,0.3052059699617973
1260,45,46,0.30214060345266736
51,1,3,0.3013929486244195
999,27,28,0.30138534081529444
377,8,14,0.3009492725221363
998,26,50,0.30034437575020884
1255,44,46,0.29864762279489937
1225,40,46,0.2979978336060173
478,10,34,0.29796405166646883
959,25,35,0.2978614822372757
177,3,34,0.29774352577597335
572,13,14,0.29642542442852615
99,2,3,0.29539023463439246
929,24,30,0.29514851579849055
517,11,34,0.29316461616588957
130,2,34,0.2929331971891205
1132,33,44,0.29185885806916967
25,0,26,0.2913563320204891
1035,28,42,0.2908237430573875
82,1,34,0.29016706536831355
835,20,46,0.2899887492815635
1122,33,34,0.28883442586635666
472,10,28,0.2886193251836825
562,12,41,0.288438111573879
1238,41,50,0.2882846805942347
486,10,42,0.2880260062139978
1057,29,43,0.2876427149247295
488,10,44,0.28738560404557695
1187,37,41,0.28719884047407
709,16,46,0.28497643676980733
705,16,42,0.2829781978826115
823,20,34,0.28224062753765544
437,9,33,0.2811788691736784
103,2,7,0.28087662324686075
232,4,43,0.28023701895065045
348,7,27,0.2799439537108266
1181,36,48,0.2798529687790568
1252,43,49,0.2797103202742852
230,4,41,0.2793006740751584
1221,40,42,0.2791263466521318
407,8,44,0.2789549638018627
92,1,44,0.2786297407423633
800,19,41,0.2785289235679706
187,3,44,0.27796845760982686
853,21,35,0.27777257215124457
61,1,13,0.27737223020401985
808,19,49,0.27693152492171574
1133,33,45,0.27630784379220574
490,10,46,0.27565087706937663
1253,43,50,0.2751370920655901
1241,42,45,0.2746944716132494
671,15,42,0.27432500433904317
397,8,34,0.27429362857390577
1236,41,48,0.27425454047916725
1148,34,44,0.27401465075349646
405,8,42,0.27386429246671373
1063,29,49,0.27372641550929255
151,3,8,0.2736252112550095
57,1,9,0.27360759626795594
1234,41,46,0.27359613544785366
877,22,31,0.27348230302003285
630,14,36,0.2728948154057992
510,11,27,0.2728583721794644
56,1,8,0.27251061226601386
150,3,7,0.27205053370445165
218,4,29,0.2718476062229497
1004,27,33,0.2716545183700444
516,11,33,0.2713919795777207
690,16,27,0.27112289178192023
107,2,11,0.27097733513957084
842,21,24,0.2705990596172857
418,9,14,0.27031378121020955
105,2,9,0.2692027028399315
496,11,13,0.2691928217858657
59,1,11,0.26911959250794604
1103,31,50,0.2685660848575608
989,26,41,0.2681317520204905
1069,30,35,0.2679926315678198
628,14,34,0.26677060144985293
416,9,12,0.26634298481175694
432,9,28,0.2662554562521321
1102,31,49,0.26617412952527875
90,1,42,0.26608126289128914
527,11,44,0.26567185431574875
557,12,36,0.2653533012947638
1071,30,37,0.26435883779730696
1100,31,47,0.2639532251105668
1212,39,43,0.26334963112960974
170,3,27,0.26330660324702815
171,3,28,0.2632526524957659
445,9,41,0.26323094282465953
1058,29,44,0.26308663575395086
834,20,45,0.2629476189957535
1005,27,34,0.26269415879720875
1099,31,46,0.2620037764851104
287,6,9,0.261991675606062
1254,44,45,0.26025753840726945
1048,29,34,0.259801321289746
621,14,27,0.25781958295351143
591,13,33,0.25723375563896583
188,3,45,0.25703684449356534
391,8,28,0.25681802387200203
366,7,45,0.25618131471520894
807,19,48,0.2558638436303781
914,23,41,0.2557281497723386
936,24,37,0.2552914485807193
267,5,33,0.2552593993959065
552,12,31,0.25520735500259867
179,3,36,0.25505320696829287
831,20,42,0.25496384297946517
419,9,15,0.2548600946653438
124,2,28,0.2547676369035798
447,9,43,0.25419906127779957
954,25,30,0.2540616570032442
919,23,46,0.2539382963598858
448,9,44,0.25353215244385535
431,9,27,0.2531925509432364
550,12,29,0.2531390244956948
600,13,42,0.252680947681228
727,17,31,0.2517907855335578
104,2,8,0.25170280857912974
154,3,11,0.2516553854733804
782,19,23,0.25155845922794
484,10,40,0.25129743628655954
746,17,50,0.251219196412805
1061,29,47,0.25093479538647473
349,7,28,0.2508625425831332
785,19,26,0.25079199199584445
225,4,36,0.24977581102973315
81,1,33,0.24959336468136792
567,12,46,0.24947973623429942
373,8,10,0.2494328935107927
332,7,11,0.24935083230432864
88,1,40,0.24926633993546557
68,1,20,0.24906522655743632
979,26,31,0.24877884358997174
183,3,40,0.24850959116153848
372,8,9,0.24802189664527555
563,12,42,0.2479335770316931
855,21,37,0.24786067353198699
697,16,34,0.24769911131123165
610,14,16,0.24757152275298192
390,8,27,0.24754337279456398
396,8,33,0.24703773358406877
458,10,14,0.24703562034165324
1037,28,44,0.24694666640599053
174,3,31,0.24690546737703015
454,9,50,0.24671972778201648
696,16,33,0.24668166734975777
1101,31,48,0.246627312334411
58,1,10,0.2460513350604379
1002,27,31,0.2458983056356497
1237,41,49,0.24583907227517987
609,14,15,0.24551530066943358
737,17,41,0.24543871787036617
742,17,46,0.2453192768436903
1183,36,50,0.24438518057589229
480,10,36,0.24432673383649778
806,19,47,0.2438140525169654
602,13,44,0.2435790583450513
817,20,28,0.2432529612227245
732,17,36,0.2430468144817476
603,13,45,0.24263226419582057
350,7,29,0.24238417766208803
586,13,28,0.2421587472427498
753,18,25,0.2421305990658129
153,3,10,0.2421057292922118
788,19,29,0.24175588777146603
159,3,16,0.24168670023824165
365,7,44,0.24156841833417972
84,1,36,0.24156247063611735
1000,27,29,0.24117239317357922
833,20,44,0.24106510645086293
392,8,29,0.24090695534583842
884,22,38,0.2406034070587347
53,1,5,0.24024422735776477
155,3,12,0.2400072813239567
682,16,19,0.23999260864056446
1052,29,38,0.239937349795546
1038,28,45,0.23986657949498394
435,9,31,0.23939383280610882
1056,29,42,0.23922139956494948
825,20,36,0.23915171519155903
89,1,41,0.23893730969119406
887,22,41,0.23885487046105575
1033,28,40,0.23862836283072353
280,5,46,0.23833682871951967
110,2,14,0.23817401629585436
276,5,42,0.23805813270599283
663,15,34,0.2377990424990261
639,14,45,0.23778854179055228
220,4,31,0.23750631174477482
848,21,30,0.2369641526243059
248,5,14,0.2369368573864018
781,19,22,0.23680136316218717
279,5,45,0.2364007744073282
1249,43,46,0.2360806387835605
1075,30,41,0.23514104483374024
420,9,16,0.23492502002746127
194,4,5,0.23487962405082985
433,9,29,0.2347569478650419
940,24,41,0.23443409982115787
765,18,37,0.2344330978404817
471,10,27,0.2341622585439369
424,9,20,0.23408937488642367
140,2,44,0.23393001134006686
415,9,11,0.23349148434440703
1128,33,40,0.23312459643983258
214,4,25,0.23278153743917324
734,17,38,0.23267185723014
64,1,16,0.2326529590714784
1098,31,45,0.2323603600946075
354,7,33,0.232244131234888
355,7,34,0.23207163474851122
961,25,37,0.23184260763277892
284,5,50,0.23102251995697687
93,1,45,0.23090715833714065
617,14,23,0.23059840648242275
212,4,23,0.2304338203310599
1223,40,44,0.23032335565436954
261,5,27,0.23021251786646482
149,3,6,0.2300912841580481
1235,41,47,0.23008367953473124
1131,33,43,0.2295228325649394
1270,47,49,0.22927772260272572
535,12,14,0.2291640717417898
795,19,36,0.2290431135121608
311,6,33,0.22885945928568752
198,4,9,0.22830905224917206
477,10,33,0.22803400792889594
707,16,44,0.2279453753807851
703,16,40,0.22788744630630628
50,1,2,0.2277380812456305
236,4,47,0.22768352207857848
1175,36,42,0.22724315463213057
417,9,13,0.22724044256109024
1091,31,38,0.22716465448237402
907,23,34,0.22715060065657527
1070,30,36,0.22704293534567263
547,12,26,0.2269196007729304
505,11,22,0.22673517296346363
539,12,18,0.2264656278499801
816,20,27,0.22640884588572113
565,12,44,0.226276330056575
63,1,15,0.22620571699447434
201,4,12,0.22613610819062768
585,13,27,0.22599186352468295
503,11,20,0.22597304895767784
489,10,45,0.22568438379606162
1224,40,45,0.22566780475886702
172,3,29,0.22535316140813802
55,1,7,0.2249298742170324
506,11,23,0.22484204035838878
726,17,30,0.22470682437027314
334,7,13,0.22467625283187578
250,5,16,0.22438845962191056
1268,46,50,0.22417208929819135
675,15,46,0.22378980537200052
1050,29,36,0.22378607462769118
662,15,33,0.22364435764057297
239,4,50,0.22347252896978362
444,9,40,0.2232208686015577
875,22,29,0.2231035616135727
790,19,31,0.22285819115009586
1207,38,49,0.22272432953636787
1092,31,39,0.22252738453319235
268,5,34,0.22251432546093275
923,23,50,0.22208580861270197
715,17,19,0.22201768480964967
1250,43,47,0.22176291163940873
1170,36,37,0.22073904214327567
71,1,23,0.22073451030152136
184,3,41,0.22043586814023106
186,3,43,0.22020740296539784
1210,39,41,0.21983533037785216
378,8,15,0.2197218736876915
1247,43,44,0.2195375881905714
534,12,13,0.21949952650398546
758,18,30,0.2193529501518168
611,14,17,0.21925135155506154
739,17,43,0.21914720216710698
320,6,42,0.21870813658801302
216,4,27,0.21858154227910098
763,18,35,0.21850308656644782
911,23,38,0.21820195234516837
1012,27,41,0.21809787175434792
1062,29,48,0.21788672133890782
324,6,46,0.21777911944628914
1145,34,41,0.21776079682171662
156,3,13,0.21735382948734602
994,26,46,0.21683780978712075
870,22,24,0.21674908967920617
977,26,29,0.21660228457311506
191,3,48,0.21610725634952735
1149,34,45,0.2154158000788826
1182,36,49,0.21541530443476306
1064,29,50,0.21539387906292462
1034,28,41,0.215333120244251
455,10,11,0.2150875988301663
646,15,17,0.21481308696403248
801,19,42,0.21479838061119327
909,23,36,0.21475239699952225
798,19,39,0.21471934476836135
545,12,24,0.21447001649875186
1040,28,47,0.21446841615647094
495,11,12,0.21437128470062897
1269,47,48,0.21425552856652383
569,12,48,0.21421896471317695
1044,29,30,0.21410359354521882
1217,39,48,0.21365890282089514
1178,36,45,0.212873882177162
554,12,33,0.21267700238094864
991,26,43,0.21253468569017778
1188,37,42,0.2125107015572018
148,3,5,0.21239027408896818
338,7,17,0.21217286420189488
485,10,41,0.21146338524786987
322,6,44,0.21110893987189866
1118,32,47,0.21107078982603308
399,8,36,0.21100346853454874
275,5,41,0.21067336577285703
802,19,43,0.21056640058360088
330,7,9,0.21055677898902592
406,8,43,0.21043418428867666
1222,40,43,0.21041254370190537
1230,41,42,0.21035618722764737
738,17,42,0.21023514648070504
383,8,20,0.21016541915598685
904,23,31,0.21003749480546538
1267,46,49,0.20971715812249977
215,4,26,0.20966847874888297
1172,36,39,0.20923438347861872
946,24,47,0.20917697967704477
77,1,29,0.20910855703237693
797,19,38,0.20862138270980163
101,2,5,0.20824678286121337
896,22,50,0.20814438556718012
942,24,43,0.2080865823755585
1011,27,40,0.2080457745091219
869,22,23,0.20795330965497172
512,11,29,0.207942818442319
843,21,25,0.2078963748361926
1251,43,48,0.20788126211953614
443,9,39,0.20783108382898408
235,4,46,0.20762103521919084
997,26,49,0.20708407024442627
1259,44,50,0.20669516707492253
890,22,44,0.20657050993840942
277,5,43,0.20640864083828192
404,8,41,0.20627408675416267
106,2,10,0.20618723827962404
592,13,34,0.20615060900199467
793,19,34,0.2060382804855303
1211,39,42,0.20602860924986954
722,17,26,0.20595305302732375
548,12,27,0.20582401459767377
928,24,29,0.20569464928595577
1142,34,38,0.20565427078130016
141,2,45,0.20523567653150468
967,25,43,0.2051912133989638
1144,34,40,0.2050633378443321
1026,28,33,0.20462882976523783
109,2,13,0.20457211235374137
1272,48,49,0.20450085823914899
243,5,9,0.2044714704651713
245,5,11,0.20434773661274375
160,3,17,0.20413503699632235
568,12,47,0.2039027768109955
175,3,32,0.20367846187678762
892,22,46,0.2035860421045836
915,23,42,0.20357826088012498
466,10,22,0.2032749747083554
901,23,28,0.20306567984964363
551,12,30,0.20303624592834976
129,2,33,0.20286721068013522
233,4,44,0.20259726049309407
456,10,12,0.2025509471584578
1208,38,50,0.2020237202595869
1243,42,47,0.20199899073131117
125,2,29,0.2019415689308233
1233,41,45,0.20182398609832106
70,1,22,0.20181819394159026
427,9,23,0.20180223930589547
1173,36,40,0.20158365808844447
195,4,6,0.20156999077428045
203,4,14,0.20108782331760575
331,7,10,0.20096817506842624
1053,29,39,0.20091950792314162
719,17,23,0.2009187274517567
953,25,29,0.200892166826533
244,5,10,0.2004589063589815
453,9,49,0.20038565629889338
52,1,4,0.20017242333310198
1218,39,49,0.20014289567600865
1047,29,33,0.2001005704683431
139,2,43,0.1998837221209358
242,5,8,0.19974240866862916
1232,41,44,0.1996626962253721
292,6,14,0.19939470278965543
166,3,23,0.19934777480201712
533,11,50,0.1993189531587383
1248,43,45,0.19926136778857312
725,17,29,0.1988907549714636
163,3,20,0.19883719586796597
1059,29,45,0.19883138500585315
783,19,24,0.1987350329836829
1271,47,50,0.19869330368373533
1021,27,50,0.19850803962133817
468,10,24,0.19847370938721265
560,12,39,0.19847123820028878
674,15,45,0.19800358316156835
457,10,13,0.19782688958057612
1264,45,50,0.19779224541502324
1140,34,36,0.19777221022719807
906,23,33,0.19765961139772126
519,11,36,0.19761486371210288
436,9,32,0.1973176885132352
708,16,45,0.19704263877772563
822,20,33,0.1969999110003503
1138,33,50,0.19674903713361522
329,7,8,0.19656193380956943
587,13,29,0.19617302202304568
1171,36,38,0.1961450531907306
553,12,32,0.19598616499600252
213,4,24,0.19570458069730992
992,26,44,0.19568809095068193
680,16,17,0.1954366669593223
891,22,45,0.1953194079160952
965,25,41,0.19511662538752442
980,26,32,0.195033700337773
375,8,12,0.19491735706893076
669,15,40,0.19472226473733922
388,8,25,0.19461746765332016
228,4,39,0.19453027054322394
528,11,45,0.19439644435555362
1022,28,29,0.19384900885280568
691,16,28,0.1938407974292195
413,8,50,0.1936714005685627
403,8,40,0.19362776092642697
903,23,30,0.19359146410980727
221,4,32,0.19331353414609195
333,7,12,0.19302159426207566
231,4,42,0.19284793875393647
910,23,37,0.19237688898207422
1097,31,44,0.1922592054689171
262,5,28,0.19217659191487088
729,17,33,0.19192433183854413
263,5,29,0.19189393142852987
1151,34,47,0.1917201541750256
920,23,47,0.19153331097821055
247,5,13,0.19067596767113426
137,2,41,0.1906717952359712
1043,28,50,0.19026839840584742
644,14,50,0.19012987173791765
1049,29,35,0.18991348141201783
1215,39,46,0.18990763282219872
182,3,39,0.18986110490827202
608,13,50,0.1898372592936966
881,22,35,0.18982810138850795
1124,33,36,0.18955993138975644
1072,30,38,0.1895279293526768
899,23,26,0.1893612948613308
460,10,16,0.1892722536176134
337,7,16,0.1891823538016547
113,2,17,0.1891634440315147
771,18,43,0.18889174980625753
633,14,39,0.18877739598991836
902,23,29,0.1886822986572743
487,10,43,0.18862921536426142
108,2,12,0.18853384750740784
623,14,29,0.18845769060011744
805,19,46,0.18843404960114443
789,19,30,0.18840761784667479
208,4,19,0.1882685462254634
423,9,19,0.18814548826943966
1266,46,48,0.18781346793565626
336,7,15,0.1875816810797598
369,7,48,0.1871085391571084
1273,48,50,0.18702791669334073
759,18,31,0.18702711888567974
91,1,43,0.1868338564346094
357,7,36,0.1867660212926336
1087,31,34,0.18671592482025945
408,8,45,0.18648945812442191
916,23,43,0.18645244231099078
1154,34,50,0.18632790308317007
635,14,41,0.18574596108054353
1199,38,41,0.18562160183047907
747,18,19,0.18545971640562003
1214,39,45,0.18534314152647335
173,3,30,0.185221841003464
657,15,28,0.185210742072981
193,3,50,0.18501087315208137
1016,27,45,0.18434240895783205
463,10,19,0.18432519626685917
352,7,31,0.18428147445721157
219,4,30,0.18418565052693917
278,5,44,0.18418298935689198
162,3,19,0.18417978404300778
475,10,31,0.18397581431374152
434,9,30,0.18356654568269232
912,23,39,0.18316263185981693
362,7,41,0.18308810042567603
1032,28,39,0.18297859207877498
744,17,48,0.18281544142655687
285,6,7,0.18273067428330325
1046,29,32,0.18233292733683623
566,12,45,0.1817907841001395
451,9,47,0.18173958152099753
1068,30,34,0.18157372166735683
344,7,23,0.18121798899544053
421,9,17,0.18110290377722046
935,24,36,0.18099629285687086
619,14,25,0.18087012726948462
683,16,20,0.18085177937834804
882,22,36,0.18084828202449374
735,17,39,0.18058593752679247
832,20,43,0.18045835852383652
537,12,16,0.18044122662941073
829,20,40,0.18034808720031106
741,17,45,0.18032761567823896
306,6,28,0.18032180949096696
1216,39,47,0.18025426072825193
1180,36,47,0.17976519792268722
880,22,34,0.17968684087868703
1066,30,32,0.1794701976309019
1262,45,48,0.17945748751251472
1014,27,43,0.1791894881841768
234,4,45,0.17912855477076794
1135,33,47,0.17906837919137394
386,8,23,0.1790236670596492
256,5,22,0.17888031977878915
574,13,16,0.17871239832112354
1051,29,37,0.17852593749564807
257,5,23,0.17832777952548395
796,19,37,0.1777872494538881
251,5,17,0.1777051279684184
1153,34,49,0.1776527860727471
812,20,23,0.17752729606503076
1083,30,49,0.17740485938899878
452,9,48,0.17730251163934674
769,18,41,0.1767485467085321
202,4,13,0.17670385523151605
665,15,36,0.1766600348224164
637,14,43,0.1766265756834501
944,24,45,0.1765481693678458
