,instrument_1,instrument_2,distance_corr
68,1,20,0.9854105584934206
1174,36,41,0.9796646084466941
603,13,45,0.9796577904191974
490,10,46,0.9792445619317369
1274,49,50,0.9727989276651545
390,8,27,0.9631300642137135
184,3,41,0.956588188144656
763,18,35,0.9563071000419413
179,3,36,0.9561629915185071
162,3,19,0.942269559813709
980,26,32,0.9405277106477542
795,19,36,0.9360232778706887
160,3,17,0.9349397231233825
800,19,41,0.9338236279839027
737,17,41,0.9320613819301203
732,17,36,0.9269370101506519
791,19,32,0.9247131296983013
1130,33,42,0.9212153940123856
1042,28,49,0.9187863784960713
1043,28,50,0.9164161233286542
1207,38,49,0.9157304632952927
715,17,19,0.9148200561832526
785,19,26,0.9125389482807068
75,1,27,0.9065879811607696
383,8,20,0.9041811301827382
816,20,27,0.9041384172343236
172,3,29,0.902592082574567
56,1,8,0.9022132852665143
415,9,11,0.9007686494274243
372,8,9,0.9001665812235531
161,3,18,0.8985823571723431
1208,38,50,0.8984517520528033
374,8,11,0.8966578935166619
44,0,45,0.8955249019453828
27,0,28,0.893407632384738
178,3,35,0.8917493502841075
12,0,13,0.8899165150407635
175,3,32,0.8898277315919568
757,18,29,0.8888444461632252
1055,29,41,0.8864385210723212
1107,32,36,0.8823632210675663
361,7,40,0.8819041000045054
424,9,20,0.8799899469328851
1112,32,41,0.8797314673754696
57,1,9,0.8796750338979253
1007,27,36,0.8786109947852377
1049,29,35,0.8783706995530912
1096,31,43,0.8775542595123639
510,11,27,0.8774849574936104
48,0,49,0.8773762646997815
170,3,27,0.8760336569927835
431,9,27,0.8751830575849663
1012,27,41,0.8746153202568232
577,13,19,0.8736329245316338
804,19,45,0.8733860948011782
1031,28,38,0.8732505362671953
37,0,38,0.8727239733552056
1050,29,36,0.871929792588446
59,1,11,0.8685557328386297
151,3,8,0.8680482732882561
49,0,50,0.8676031615262386
728,17,32,0.8673538968556512
1203,38,45,0.8627323670919571
586,13,28,0.8626810886918872
399,8,36,0.8621875903492564
714,17,18,0.8609242786444907
169,3,26,0.859607247882316
404,8,41,0.8591683126869744
1038,28,45,0.858964188594586
84,1,36,0.8584738685428918
731,17,35,0.8563277015445303
512,11,29,0.8556380478179404
1003,27,32,0.8553806697413917
825,20,36,0.8544205985711736
596,13,38,0.8543423030907553
786,19,27,0.8535139920166795
747,18,19,0.8531306798222115
89,1,41,0.852705288248889
769,18,41,0.8525244902632633
392,8,29,0.8513661213806695
594,13,36,0.850861484845718
984,26,36,0.8496508197534263
503,11,20,0.847971899213798
847,21,29,0.8478587812986367
156,3,13,0.8469232898115151
830,20,41,0.846544825712369
623,14,29,0.8453676693044692
794,19,35,0.8448739384058686
722,17,26,0.8444117847766625
1160,35,41,0.8436820067853625
76,1,28,0.8432778874131911
1178,36,45,0.8428360236232487
989,26,41,0.8422027544763421
585,13,27,0.8421348311204849
152,3,9,0.8408100953596768
764,18,36,0.8392325019232902
961,25,37,0.8379003696650427
418,9,14,0.837751979851927
817,20,28,0.8374599266047907
999,27,28,0.8372791022856566
188,3,45,0.8371022129704045
1000,27,29,0.8363230627275369
98,1,50,0.8355578525692595
1154,34,50,0.8348526240007367
1016,27,45,0.8344293532513664
993,26,45,0.8342842774306432
725,17,29,0.8341591424675452
1116,32,45,0.8330571065383777
1027,28,34,0.8329118288331178
206,4,17,0.8319414372972586
440,9,36,0.831845131213736
599,13,41,0.8314910475740185
590,13,32,0.8312709339640358
531,11,48,0.8305246529642819
433,9,29,0.8303833844412158
97,1,49,0.8292033441829717
1155,35,36,0.8285725141494945
445,9,41,0.8282259604983956
788,19,29,0.8279573234100893
823,20,34,0.8278811438077349
760,18,32,0.8278211062709733
1029,28,36,0.8260301852231035
787,19,28,0.8256773276461029
382,8,19,0.8256700888545437
839,20,50,0.8242779679173385
975,26,27,0.8230584796038248
1263,45,49,0.822859010435009
1233,41,45,0.8211658107976629
584,13,26,0.8207524090395999
607,13,49,0.8203856712880151
82,1,34,0.8198669798770607
838,20,49,0.8186645048957495
1106,32,35,0.8168315082640664
519,11,36,0.816546961160031
157,3,14,0.8163483121452827
51,1,3,0.816091418882812
395,8,32,0.8145109312006893
524,11,41,0.8138097122521526
163,3,20,0.8134907775529995
853,21,35,0.8127395077397029
154,3,11,0.8118524639188378
1046,29,32,0.8100393009546101
77,1,29,0.8095239426083757
1034,28,41,0.8088841302189774
62,1,14,0.8086850330612338
754,18,26,0.8070114418443293
1062,29,48,0.805319184984331
236,4,47,0.8050777752801785
1153,34,49,0.8034968512042844
1264,45,50,0.8034813883397317
377,8,14,0.8029667419086107
1025,28,32,0.8007015683705796
497,11,14,0.8006309014920148
608,13,50,0.7992775275246644
614,14,20,0.7988309102155243
635,14,41,0.7985284040037414
376,8,13,0.797989284186074
818,20,29,0.7976277880846665
147,3,4,0.7954458398519417
1020,27,49,0.7952157218003071
749,18,21,0.7948772774221584
983,26,35,0.7928065108493761
391,8,28,0.7924572721844544
1142,34,38,0.7919350068583744
408,8,45,0.7911293318202852
1197,38,39,0.7883506871363958
1021,27,50,0.7879477418129347
1069,30,35,0.7877017941705647
615,14,21,0.7876130189233491
389,8,26,0.787391849022609
621,14,27,0.7858930822347819
977,26,29,0.7850851721787185
18,0,19,0.7849570397845105
630,14,36,0.7821955389915117
741,17,45,0.7819074499534172
575,13,17,0.7773003210173949
827,20,38,0.7762499065987286
578,13,20,0.7757851898472651
230,4,41,0.7723895979092072
808,19,49,0.7722274201270463
86,1,38,0.7710643604050009
1183,36,50,0.7708186114438377
673,15,44,0.7705852618099603
61,1,13,0.770003133503848
1182,36,49,0.7699337198214861
80,1,32,0.7696424778296773
723,17,27,0.7692555184109905
413,8,50,0.7675795442496434
758,18,30,0.7668010329256771
755,18,27,0.7661428488715637
412,8,49,0.7658589265747764
225,4,36,0.7656250984211371
563,12,42,0.7655047511481242
234,4,45,0.7654089221636509
67,1,19,0.7645845825192108
38,0,39,0.7644812298904574
797,19,38,0.7643500385956468
96,1,48,0.7642833589087558
202,4,13,0.7635635041374648
1237,41,49,0.7630229164621799
423,9,19,0.7622899076759551
629,14,35,0.761932070717062
834,20,45,0.7615105016866789
1238,41,50,0.7614397877839292
1044,29,30,0.7613257149922413
33,0,34,0.7608150425457592
1171,36,38,0.7604107532724643
809,19,50,0.7599576441701152
35,0,36,0.7597484853078549
821,20,32,0.7595100190338172
515,11,32,0.7591960760024044
642,14,48,0.7583493273577677
208,4,19,0.7581609778787648
976,26,28,0.7576817647419565
779,19,20,0.755742453799062
381,8,18,0.7553281986063703
417,9,13,0.7552624066794508
171,3,28,0.7551292531485222
31,0,32,0.7550215742690296
93,1,45,0.7531913374485463
502,11,19,0.752711841022197
26,0,27,0.7519898785380389
612,14,18,0.7481295522202505
1006,27,35,0.7473446329998734
294,6,16,0.745660067162702
1214,39,45,0.744852860059767
224,4,35,0.7441118001500456
597,13,39,0.7429210255362891
380,8,17,0.7420348956649798
1120,32,49,0.741738662971794
449,9,45,0.74042437589857
411,8,48,0.7403930871649391
436,9,32,0.739046182721451
1249,43,46,0.7387225668516348
837,20,48,0.7377125685503981
487,10,43,0.7375605816713611
398,8,35,0.7364793563543798
1009,27,38,0.7338676208617858
1199,38,41,0.7334699677997075
501,11,18,0.7333337255853097
1218,39,49,0.7331387330571734
164,3,21,0.7319967929892899
40,0,41,0.7318929811938936
25,0,26,0.7301294493104025
207,4,18,0.7290213607432823
19,0,20,0.7288691051826496
1005,27,34,0.7287962564436834
997,26,49,0.7271336880640826
554,12,33,0.7271116039783465
509,11,26,0.7248691181704814
0,0,1,0.7231085696969676
1236,41,48,0.7210267282438857
1019,27,48,0.7197062309480882
1121,32,50,0.7178887089419309
1140,34,36,0.7176757746393297
743,17,47,0.716427054912556
859,21,41,0.7157620506164367
866,21,48,0.714447377663904
513,11,30,0.714237882056717
1219,39,50,0.7127440670039044
986,26,38,0.712722375858885
798,19,39,0.7120120700976282
74,1,26,0.7117948146072056
613,14,19,0.7115959847858737
716,17,20,0.7110983522610896
65,1,17,0.7105973880104911
397,8,34,0.7096539578222393
430,9,26,0.708826550763273
453,9,49,0.7084839545599593
454,9,50,0.7083005906180666
452,9,48,0.7080778791228233
421,9,17,0.7080467782496507
611,14,17,0.7073438460287665
422,9,18,0.7061595261694443
724,17,28,0.7060066338924419
815,20,26,0.7046863286724452
401,8,38,0.7009175129752014
587,13,29,0.7005623814456673
717,17,21,0.6995302184636176
2,0,3,0.6993749706437857
1149,34,45,0.6992924002324897
439,9,35,0.6990853539481
592,13,34,0.6985287565963729
1109,32,38,0.6984626421528619
533,11,50,0.6976978121545172
576,13,18,0.6964569612297316
1145,34,41,0.6963559146840268
518,11,35,0.6951402990916279
192,3,49,0.6948972336010351
1181,36,48,0.6947859708687083
1164,35,45,0.6939645407803297
7,0,8,0.6938226971412957
593,13,35,0.6934818515773241
532,11,49,0.6916733470534022
1059,29,45,0.6912770250140318
773,18,45,0.6912359521392295
193,3,50,0.6910500130913965
1082,30,48,0.6909177401395826
14,0,15,0.6906914075500589
221,4,32,0.6899055496551905
72,1,24,0.688854487536751
570,12,49,0.6885142445700126
998,26,50,0.6881643525028609
854,21,36,0.6881454104271624
511,11,28,0.6877498931119241
626,14,32,0.6877312805178549
16,0,17,0.6864159505818447
173,3,30,0.6860453718685899
181,3,38,0.6847399470841292
848,21,30,0.6830544457695514
949,24,50,0.6824192337630723
571,12,50,0.6822339950748707
813,20,24,0.6820620267319539
948,24,49,0.6819159066398466
442,9,38,0.6803083242140778
354,7,33,0.6801159865100107
43,0,44,0.679513097045986
215,4,26,0.6793170780337752
735,17,39,0.6789133386056494
432,9,28,0.6766943174331619
851,21,33,0.6764503332231165
475,10,31,0.67641706495021
459,10,15,0.6758358450379429
1266,46,48,0.6740142421020302
1099,31,46,0.673155066621616
496,11,13,0.6716823479308515
500,11,17,0.6708398745265979
218,4,29,0.6705044056912636
1172,36,39,0.6702005476428328
333,7,12,0.669027321678244
363,7,42,0.6647286417084028
492,10,48,0.6642853517795937
1210,39,41,0.662546244568244
860,21,42,0.6622656715059926
1032,28,39,0.6617221690502606
624,14,30,0.6597541943845091
506,11,23,0.6594804391458889
675,15,46,0.6562516826241114
528,11,45,0.6560507965228379
191,3,48,0.6551378719605127
1119,32,48,0.6546889810541886
504,11,21,0.6533018724986579
620,14,26,0.6530848401972245
182,3,39,0.6516732006600225
1128,33,40,0.6510995584838476
1235,41,47,0.6505115833410638
427,9,23,0.6493667856107022
1075,30,41,0.6481140876666567
745,17,49,0.6477432703254407
1022,28,29,0.6471120292126861
66,1,18,0.6470536279777884
987,26,39,0.6468401160123838
572,13,14,0.645862490916608
393,8,30,0.6453205347683044
933,24,34,0.6445768313940576
1066,30,32,0.6435660734365012
177,3,34,0.6425585567211812
1202,38,44,0.6401180790771456
746,17,50,0.6399399386059961
561,12,40,0.6392382316845805
734,17,38,0.6382474686786536
1105,32,34,0.6380263935766253
748,18,20,0.6380003311729818
726,17,30,0.637690406599791
793,19,34,0.6375216246266247
890,22,44,0.6372585450223412
1180,36,47,0.636409027622843
3,0,4,0.6354125214104674
780,19,21,0.635366685577782
434,9,30,0.6344710787234589
138,2,42,0.6331358192071006
1070,30,36,0.629849002047624
789,19,30,0.6297533346434049
639,14,45,0.6294470781098116
83,1,35,0.6290099465317454
290,6,12,0.628367095444835
438,9,34,0.6270526211854236
517,11,34,0.626733451300133
190,3,47,0.624992718699084
1001,27,30,0.6249107795041733
1063,29,49,0.62365058149071
776,18,48,0.6234187265909866
861,21,43,0.6232882002324127
844,21,26,0.6227078169146169
488,10,44,0.6221380889656387
1166,35,47,0.6215441779765104
327,6,49,0.621454328611649
289,6,11,0.6213003399868159
384,8,21,0.6201788792379629
328,6,50,0.6201194437439844
667,15,38,0.6201181548095065
775,18,47,0.6196960058190941
824,20,35,0.6194882187788069
806,19,47,0.6191112859278698
1064,29,50,0.6190313930895462
1110,32,39,0.6158168777000471
996,26,48,0.6149427915990215
651,15,22,0.612990996687042
711,16,48,0.6128600247601357
326,6,48,0.6112064348051646
850,21,32,0.6099461621643707
864,21,46,0.6093411670924664
465,10,21,0.6089707600938719
644,14,50,0.6075384380286408
1010,27,39,0.607440155230952
1221,40,42,0.6074299524151198
807,19,48,0.6069939897898047
845,21,27,0.6065167416062114
1167,35,48,0.6064735956777535
1255,44,46,0.6061656450653994
559,12,38,0.6054496734936767
316,6,38,0.6053868003808884
627,14,33,0.6011660092507879
828,20,39,0.5981952574964826
978,26,30,0.5969093297343839
228,4,39,0.5960248919961263
889,22,43,0.5951439727263186
643,14,49,0.5943905153189337
8,0,9,0.5938497457313597
521,11,38,0.5938288094154593
927,24,28,0.5935895413210914
730,17,34,0.5927590344422231
1225,40,46,0.5909655323666554
87,1,39,0.5905133569749526
367,7,46,0.5897877779666506
216,4,27,0.5895462054474636
756,18,28,0.5876535532530487
1251,43,48,0.5870486547312997
484,10,40,0.5868483729272824
425,9,21,0.5854577660645935
937,24,38,0.583938864274095
331,7,10,0.5832958498011803
210,4,21,0.5831777055021354
387,8,24,0.5819699745752339
549,12,28,0.5814261916788716
640,14,46,0.5803336610746981
108,2,12,0.5789498233248687
1143,34,39,0.5788830627369062
1123,33,35,0.5771574560329555
982,26,34,0.576500236942428
1254,44,45,0.576011639836704
1067,30,33,0.5756973771760604
921,23,48,0.574981963461207
636,14,42,0.5745695163980922
198,4,9,0.574244683470726
1273,48,50,0.5742315099288936
1213,39,44,0.5741520149997589
402,8,39,0.5739396326310718
1028,28,35,0.5736445026206607
628,14,34,0.57335640273976
632,14,38,0.5732126079997556
303,6,25,0.571596264500552
69,1,21,0.5707606207076866
443,9,39,0.5699719004239009
458,10,14,0.569652909231741
78,1,30,0.5688505653965953
622,14,28,0.5681801533654062
1052,29,38,0.5668777891933154
555,12,34,0.5661644283721665
744,17,48,0.5658079666018331
507,11,24,0.5646249517326055
674,15,45,0.564618523920445
1060,29,46,0.5644630089093022
466,10,22,0.5642032033873565
11,0,12,0.5635777413930444
1272,48,49,0.5627088946867008
1076,30,42,0.5605743489080866
428,9,24,0.5600399375049154
386,8,23,0.5595674835044293
197,4,8,0.5586966025913703
926,24,27,0.5581336799187662
302,6,24,0.5580356333276015
1047,29,33,0.557286606999799
810,20,21,0.5566153273345791
129,2,33,0.5563380387181163
668,15,39,0.5560273300906032
537,12,16,0.5557263315855532
203,4,14,0.5555819654905495
217,4,28,0.5550291374880523
1161,35,42,0.5529837964351387
1041,28,48,0.5523943628784906
617,14,23,0.5523635359650261
1048,29,34,0.5522295186790684
692,16,29,0.5513408898448542
499,11,16,0.5507735398670701
1118,32,47,0.5504824491521725
227,4,38,0.5493034160094534
819,20,30,0.5483113299620659
892,22,46,0.5471447219584998
877,22,31,0.5462090343580673
840,21,22,0.5460972464705071
1188,37,42,0.5455923832858574
995,26,47,0.5453975215681269
54,1,6,0.5428566883704218
602,13,44,0.5424633732896775
64,1,16,0.5423747572006551
473,10,29,0.5402718775928307
637,14,43,0.5395779976047813
573,13,15,0.5391271576302736
761,18,33,0.5384807753741262
545,12,24,0.5382708755707686
1134,33,46,0.5378706007700986
370,7,49,0.5369081908088877
849,21,31,0.535312611843888
903,23,30,0.5344559246667376
10,0,11,0.5341663374367109
343,7,22,0.5320637639909043
660,15,31,0.5312086761777297
1057,29,43,0.5302938736904538
1152,34,48,0.5297990706818816
209,4,20,0.5294427130896778
678,15,49,0.529370944107808
1148,34,44,0.5290872311302101
1056,29,42,0.5280011617664628
687,16,24,0.5279297612418618
543,12,22,0.525947258307189
1258,44,49,0.5255398768976867
231,4,42,0.5228927662659862
679,15,50,0.5221594200828313
477,10,33,0.5221052302182355
529,11,46,0.5220060475306536
919,23,46,0.5209900132723746
222,4,33,0.5209362584910956
1242,42,46,0.5208198138850137
1037,28,44,0.5203769117722125
28,0,29,0.5202556076666549
306,6,28,0.5200048696052458
900,23,27,0.5199128099616738
17,0,18,0.5197911679433294
1101,31,48,0.519657786619814
371,7,50,0.5187333216018236
307,6,29,0.5187015621131198
671,15,42,0.5186565327998756
286,6,8,0.5176598054351825
683,16,20,0.5174536952177982
526,11,43,0.5166380981607511
287,6,9,0.5156452604979029
777,18,49,0.5147389730967921
1061,29,47,0.5146683073542828
298,6,20,0.5138467220778472
1259,44,50,0.5136057846209771
1216,39,47,0.5131408151999558
34,0,35,0.5128119327857337
886,22,40,0.5127107516478014
52,1,4,0.5106040270928025
71,1,23,0.5091830344527721
662,15,33,0.5091314802394814
305,6,27,0.5083555680547648
486,10,42,0.5083368531478945
770,18,42,0.5079573301465077
1261,45,47,0.5079417402080268
778,18,50,0.507932805028302
605,13,47,0.5064751007263767
1097,31,44,0.5062540417754249
1131,33,43,0.5061768404127474
865,21,47,0.5045093080494861
315,6,37,0.5020419911215115
1228,40,49,0.5016166060980924
1168,35,49,0.5011114808923235
879,22,33,0.5008640458078037
657,15,28,0.49983414448105146
233,4,44,0.49967109608955146
812,20,23,0.49911335056204514
713,16,50,0.49865052567857354
21,0,22,0.497211833903095
312,6,34,0.49700399041680027
467,10,23,0.4968680837403767
335,7,14,0.49644262428748
888,22,42,0.49525142119517246
633,14,39,0.49446338337929396
672,15,43,0.49429757747950576
1169,35,50,0.4934170816830369
914,23,41,0.49198302961012674
455,10,11,0.4917444887408961
684,16,21,0.4914950513073301
1053,29,39,0.4912377696861891
250,5,16,0.4911719702632427
712,16,49,0.49110780139010846
766,18,38,0.49023508948865535
1086,31,33,0.49000486639261354
902,23,29,0.4896859009555625
1247,43,44,0.48917426641090395
634,14,40,0.4889674595421792
1077,30,43,0.48830657504817787
688,16,25,0.4880402086368338
771,18,43,0.4875991859404709
1157,35,38,0.48754282554077577
342,7,21,0.48732999244490904
1229,40,50,0.48705979054252413
46,0,47,0.4868308966082825
858,21,40,0.48594312569053594
709,16,46,0.4857011296950083
610,14,16,0.48556730490275624
1125,33,37,0.48538451752236533
1132,33,44,0.4828771517342653
1080,30,46,0.4826914357828152
1240,42,44,0.48227197792574045
625,14,31,0.48221664772719025
909,23,36,0.48151122698920396
238,4,49,0.48132232494278493
566,12,45,0.48005038063321454
935,24,36,0.47990984099907624
281,5,47,0.4798624330412079
705,16,42,0.4796681777715044
663,15,34,0.47885062888003466
710,16,47,0.4787796662066416
226,4,37,0.4773094289510799
542,12,21,0.4769598584345616
940,24,41,0.47681052749132474
534,12,13,0.47548078125927307
618,14,24,0.47546614528068626
1158,35,39,0.47410101326852216
420,9,16,0.47394008192067466
460,10,16,0.4735913260207757
700,16,37,0.47273382655458457
13,0,14,0.4725805573970025
