ALGO,AENO,LSST,SRNA,ELLT,AMRP,OTCS,HETT,HUXZ,DUCT,SMAH,NPCK,MSDP,EORC,CUBO,HRET,ANSO,DIHO,RTTH,SPLZ,NWIG,MMBT,MDGI,AGVF,RRES,CTGI,ALUT,ACAC,SRTX,GARI,RCRI,ACIX,CCNS,MTNS,IHOZ,NAYO,FWWG,EELT,HRND,AETS,ULXY,BLBT,BENI,ITPA,HTRK,NGTE,ILVX,FCSG,FARS,MHRM,EAFC
100.0,116.51,113.55,134.23,64.12,25.05,14.68,59.24,83.62,19.71,44.08,15.14,34.11,31.68,124.31,52.61,41.73,12.47,39.83,104.33,120.19,78.8,144.6,136.28,37.9,86.48,17.48,73.25,290.79,15.6,54.64,16.33,23.62,22.23,136.17,33.34,36.97,74.85,24.07,42.97,45.25,52.23,32.37,18.82,10.86,52.65,32.58,27.46,66.43,22.41,45.08
98.49,112.94,114.53,133.21,62.74,23.96,14.55,58.28,79.94,19.22,43.44,14.74,34.15,31.79,122.99,52.17,41.68,12.37,39.29,102.81,120.04,75.19,142.6,134.82,37.06,84.27,17.55,74.0,283.39,15.47,54.58,16.11,23.97,21.35,133.47,33.5,37.23,76.08,23.09,41.36,44.12,52.73,32.25,18.41,10.77,49.71,31.66,26.47,64.66,22.1,44.28
97.83,112.7,112.17,132.8,61.61,23.3,14.69,57.97,81.2,19.22,42.87,14.68,33.36,31.55,122.11,53.63,41.74,12.63,39.44,101.34,116.39,69.78,136.02,134.65,36.64,85.52,17.59,71.84,279.44,15.84,53.81,16.26,24.17,21.69,133.36,32.64,37.53,76.36,22.96,39.87,45.66,53.23,32.23,18.22,10.69,50.53,30.84,25.28,64.19,20.87,45.3
98.02,112.26,116.09,133.16,63.55,23.47,14.43,57.02,81.82,19.39,43.37,14.87,32.96,30.92,120.21,53.8,41.83,12.76,38.8,100.05,117.31,73.62,133.85,134.33,36.44,89.13,17.23,72.4,276.45,15.65,54.36,15.86,23.87,21.42,134.19,32.24,38.05,80.89,23.37,41.29,45.71,52.67,32.2,18.22,10.28,51.64,30.95,24.6,62.8,20.95,46.32
99.13,113.59,119.58,137.2,63.64,23.61,14.61,58.78,83.01,19.91,43.64,14.92,34.12,30.97,118.87,54.14,41.77,12.63,38.82,105.26,117.15,73.46,134.42,136.34,36.83,89.09,17.49,74.57,280.34,16.29,54.65,15.92,24.16,21.87,139.1,31.65,37.44,80.64,23.07,41.49,47.14,53.59,32.33,18.25,10.5,53.57,31.49,25.66,63.94,20.72,45.56
98.65,110.95,118.05,136.84,63.1,22.84,14.21,57.64,83.03,19.53,44.25,14.79,33.06,31.39,114.19,52.09,42.35,12.69,39.1,108.31,115.78,70.19,134.41,134.52,36.68,89.01,18.1,73.78,285.4,16.17,54.02,15.94,23.87,22.48,139.17,31.63,37.2,79.68,23.19,42.49,45.23,54.34,31.93,18.1,10.56,54.5,31.38,25.23,63.78,20.45,46.42
99.9,111.0,120.2,136.55,64.33,21.97,14.03,58.18,85.42,19.27,45.65,14.25,33.25,31.67,114.6,50.81,43.3,13.03,40.59,113.39,115.26,75.01,136.58,137.74,38.58,92.2,18.35,72.83,295.06,16.29,56.12,15.7,24.78,22.75,140.22,32.76,37.41,86.78,23.83,41.48,46.16,54.76,32.01,18.38,10.67,53.39,32.06,25.12,62.73,21.22,45.07
99.86,108.46,122.13,136.28,61.58,22.23,13.55,58.44,84.8,18.91,45.11,13.94,33.97,31.7,114.12,52.19,43.32,13.22,42.04,116.11,118.14,80.91,135.96,135.2,38.93,93.06,18.22,70.72,290.5,16.12,55.98,15.72,24.29,22.82,139.04,32.85,37.11,89.5,23.02,41.09,45.36,54.63,31.93,18.59,10.75,53.35,32.4,25.28,63.35,20.56,45.09
98.91,105.48,121.07,135.43,62.62,21.12,13.61,58.93,81.09,18.64,45.41,13.72,34.81,31.28,113.28,51.62,44.09,12.84,41.48,112.17,115.12,78.43,135.08,132.33,38.2,86.57,18.4,70.92,287.99,16.11,55.5,15.7,24.63,22.36,136.79,32.94,37.49,89.46,23.01,40.05,45.87,54.83,31.41,18.71,10.79,53.29,32.26,24.32,63.75,20.97,42.58
98.97,101.95,121.72,136.76,63.73,21.22,13.73,58.89,81.04,18.93,45.42,13.86,35.34,32.03,113.5,50.79,44.57,12.63,40.68,114.73,115.09,76.72,138.9,129.65,38.26,91.08,18.63,71.05,286.78,15.68,54.63,15.69,24.43,22.42,136.48,32.83,38.2,89.06,23.05,38.08,45.86,55.69,31.49,18.81,10.75,53.04,32.89,24.07,64.26,20.52,42.15
